,mean,std,2.5q,25q,50q,75q,97.5q,mc err
a_subj.70,1.548214493645674,0.3638624144712264,1.1226123174881182,1.283244926835732,1.4379605398381308,1.6914841825566571,2.4855678006019906,0.024450714551325876
a_subj.71,4.1434574146964165,0.4260178562770742,3.3371257147443245,3.848560697749028,4.1133595994305905,4.429594674298999,5.01409402740388,0.021189956828998525
a_subj.72,2.1417902929173205,0.3734288500427142,1.443556150438622,1.8898113362540736,2.1271920514191867,2.399235848229118,2.8712289699301285,0.02223890728981396
a_subj.76,3.120412053591251,0.3823503531481788,2.4333555907248745,2.8606320631679365,3.1037438807059776,3.3626713326110638,3.9525044849730833,0.019639022517444628
a_subj.78,2.3290940901068664,0.3563313024727152,1.6473853826761817,2.08697087269312,2.311537815808015,2.5676942742945332,3.0204393357733403,0.01936558725389738
a_subj.80,2.544880842293863,0.3599856056604412,1.8875687503958154,2.2959917623068558,2.525509529388865,2.7756730845173383,3.315749034102464,0.020532941949591075
a_subj.81,2.095931494386467,0.3406509910924092,1.4835763738668455,1.8535432408199477,2.0899478050472937,2.316213518701595,2.792718777788954,0.01822247611841912
a_subj.83,1.8587082249253157,0.32173268757314355,1.2623451684874403,1.618321909450514,1.8621355962112311,2.0897436208709643,2.4571736271126934,0.017091405175977438
a_subj.84,2.7047234589586733,0.36170563395709526,2.0662755767324863,2.4557549272337234,2.6847459363936683,2.932864125547822,3.4737950006208984,0.015607151208563878
a_subj.85,2.7263244006233345,0.40502054234737334,1.9095773050589937,2.462149312753975,2.728346533981205,3.008946006839066,3.520389796069815,0.02630974610192437
a_subj.86,2.512715435074139,0.4098120410246876,1.6161180325477755,2.275670559119227,2.523812978929893,2.7787335383458345,3.327530431352098,0.022184019121090845
a_subj.88,2.8901770165775127,0.3628130270795158,2.226856634348881,2.6356931855154633,2.872113189066713,3.129303941239656,3.6521194584764003,0.017627300612864025
a_subj.89,3.4070576413210394,0.443548979828142,2.5450484454395537,3.117587449937448,3.3881071059839147,3.709637734637758,4.306866364844946,0.025101159009675585
a_subj.90,3.07491841906596,0.39328795930574517,2.3629284780334077,2.804170615981503,3.05532607722279,3.339526250806156,3.9071813767912156,0.021845486908489205
a_subj.91,3.1516863376766993,0.4079440884018688,2.432885901206273,2.867112048637721,3.126812878931118,3.405408765771767,4.035039366347253,0.021862905017526708
a_subj.92,2.081191886844922,0.6505840551658016,1.0811248185188762,1.3979118660043877,2.238610204363671,2.6079067897110604,3.1470861199209947,0.05501560597222342
a_subj.93,1.6742993618087834,0.24003801000813219,1.3204151099270247,1.5037381164612376,1.632772795762278,1.795535297864271,2.253141781685175,0.010994462299603242
a_subj.94,1.2132597907690463,0.09302756251459691,1.0523077887968277,1.149838415848512,1.2046690883914626,1.2728847310566032,1.4047392373932857,0.00261319866469952
a_subj.95,2.0777293802130687,0.2607483118331714,1.613214873324015,1.8977713890636183,2.063401050516541,2.2522275269058296,2.610373595836365,0.009497452939297091
a_subj.96,2.9779283883053935,0.4087864920355633,2.211235797109376,2.688633985713632,2.9791859125861713,3.2390962229077367,3.845637560664896,0.023689537181308205
a_subj.97,1.2159060140464932,0.10754028979510194,1.0181611131671688,1.1399146783518668,1.2087904834447765,1.2832879140987825,1.455496277048944,0.0031156548762421295
a_subj.98,2.236517562112667,0.3722752567723103,1.5374909868015445,1.9773666392025455,2.227748395631424,2.4874000450131186,2.9850566124779787,0.024358426564498586
a_subj.100,3.5861830913775026,0.4396023825428371,2.7478672267628546,3.282775517429456,3.5880572833523656,3.8802719193410513,4.460053403148256,0.026450444853246446
