id,condition,correct,rt
2,neutral,1,0.4073000000119209
2,cued,1,0.313
2,cued,1,0.40990000000596044
2,cued,1,0.359
2,neutral,1,0.46779999998211863
2,neutral,1,0.358
2,cued,1,0.38509999999403954
2,neutral,1,0.583300000011921
2,neutral,1,0.3585
2,cued,1,0.372
2,neutral,0,0.3394000000059605
2,neutral,1,0.41860000002384185
2,cued,1,0.37759999999403954
2,neutral,0,0.3971999999880791
2,cued,1,0.3553000000119209
2,cued,1,0.409
2,neutral,1,0.47120000001788137
2,cued,1,0.4385
2,neutral,1,0.394
2,cued,1,0.3805
2,cued,1,0.47990000000596045
2,cued,1,0.523800000011921
2,cued,1,0.4026999999880791
2,cued,1,0.38060000002384187
2,neutral,1,0.5589000000059605
2,cued,1,0.48
2,neutral,1,0.49740000000596046
2,neutral,1,0.5787000000178814
2,neutral,1,0.49730000001192093
2,neutral,0,0.4482999999821186
2,neutral,1,0.5786999999880791
2,cued,1,0.44810000002384187
2,cued,1,0.4442000000178814
2,cued,1,0.4095999999940395
2,cued,1,0.4815999999940395
2,cued,1,0.46909999999403956
2,neutral,1,0.46939999997615817
2,cued,1,0.4080999999940395
2,cued,1,0.4805
2,cued,1,0.4045
2,neutral,1,0.57
2,cued,1,0.4207999999821186
2,neutral,1,0.48290000000596045
2,neutral,1,0.5643000000119209
2,neutral,1,0.5954000000059605
2,neutral,1,0.5077999999821186
2,neutral,1,0.416
2,neutral,1,0.41990000000596045
2,cued,1,0.418
2,cued,0,0.4065
2,neutral,1,0.42419999998807906
2,neutral,1,0.4421999999880791
2,neutral,1,0.48740000000596045
2,cued,1,0.4202999999821186
2,cued,1,0.45559999999403955
2,neutral,1,0.6715
2,cued,1,0.3682000000178814
2,cued,1,0.3520999999940395
2,neutral,1,0.5242999999821186
2,neutral,1,0.4014000000059605
2,neutral,1,0.5665999999940395
2,neutral,1,0.5712999999821186
2,cued,1,0.3618000000119209
2,cued,1,0.6430999999940396
3,cued,1,0.397
3,neutral,1,0.497
3,neutral,1,0.543
3,neutral,1,0.527
3,neutral,1,0.516
3,neutral,1,0.52
3,neutral,1,0.445
3,neutral,1,0.429
3,cued,1,0.369
3,neutral,1,0.454
3,cued,1,0.383
3,neutral,1,0.567
3,cued,1,0.372
3,neutral,1,0.561
3,cued,1,0.387
3,cued,1,0.472
3,cued,1,0.515
3,neutral,1,0.5
3,neutral,1,0.605
3,cued,1,0.408
3,cued,1,0.459
3,cued,1,0.443
3,neutral,1,0.523
3,neutral,1,0.522
3,cued,1,0.382
3,cued,1,0.421
3,cued,1,0.479
3,cued,1,0.395
3,cued,1,0.42
3,cued,1,0.404
3,neutral,1,0.453
3,neutral,1,0.746
3,cued,1,0.41
3,cued,1,0.595
3,neutral,1,0.451
3,neutral,1,0.575
3,neutral,1,0.524
3,cued,1,0.513
3,cued,1,0.403
3,neutral,1,0.574
3,neutral,1,0.495
3,cued,1,0.417
3,cued,1,0.401
3,cued,1,0.398
3,cued,1,0.417
3,cued,1,0.432
3,neutral,1,0.477
3,cued,1,0.426
3,neutral,1,0.467
3,neutral,1,0.578
3,neutral,1,0.488
3,neutral,1,0.545
3,neutral,1,0.476
3,cued,1,0.398
3,cued,1,0.452
3,cued,1,0.369
3,neutral,1,0.492
3,neutral,1,0.522
3,neutral,1,0.486
3,neutral,1,0.515
3,neutral,1,0.491
3,cued,1,0.447
3,cued,1,0.497
3,cued,1,0.506
4,cued,1,0.6037999999523163
4,cued,1,0.5163999999761582
4,neutral,1,0.5962999999523163
4,cued,1,0.549
4,cued,1,0.48380000007152557
4,neutral,1,0.6205
4,neutral,1,0.5078999999761581
4,neutral,1,0.5012999999523163
4,cued,1,0.357
4,cued,1,0.40439999997615816
4,neutral,1,0.6933999999761581
4,cued,1,0.45339999997615815
4,cued,1,0.5651000000238419
4,cued,1,0.40469999992847444
4,neutral,1,0.6291999999284744
4,neutral,1,0.54910000002384185
4,cued,1,0.48460000002384185
4,cued,1,0.5168999999761581
4,neutral,1,0.5802000000476837
4,neutral,1,0.6048999999761582
4,neutral,1,0.5962000000476837
4,cued,1,0.4767000000476837
4,neutral,1,0.5572999999523163
4,neutral,1,0.5001000000238418
4,cued,1,0.48510000002384185
4,neutral,1,0.5327000000476837
4,neutral,1,0.5811999999284744
4,cued,1,0.4525
4,cued,1,0.4375
4,neutral,1,0.5094000000953675
4,neutral,1,0.5489000000953674
4,cued,1,0.4372000000476837
4,neutral,1,0.6442000000476837
4,neutral,1,0.5086000000238419
4,cued,1,0.47660000002384184
4,cued,1,0.4528000000715256
4,neutral,1,0.4601000000238419
4,cued,1,0.5960999999046326
4,cued,1,0.5012000000476837
4,cued,1,0.44589999997615815
4,cued,1,0.46889999997615817
4,cued,1,0.4282000000476837
4,neutral,1,0.4599000000953674
4,cued,1,0.5008999999761582
4,neutral,1,0.6127999999523163
4,cued,1,0.4767999999523163
4,neutral,1,0.49939999997615814
4,neutral,1,0.49989999997615814
4,neutral,1,0.5019000000953674
4,neutral,1,0.4762000000476837
4,neutral,1,0.47760000002384184
4,neutral,1,0.49959999990463255
4,cued,1,0.5882999999523163
4,cued,1,0.6441999999284744
4,neutral,1,0.5321999999284744
4,cued,1,0.48480000007152557
4,neutral,1,0.7003999999761581
4,neutral,1,0.5640999999046326
4,cued,1,0.4527999999523163
4,cued,1,0.45239999997615815
4,cued,1,0.4602000000476837
4,neutral,1,0.6135
4,neutral,1,0.5886999999284744
4,cued,1,0.4375
