id,meta_start,meta_end,meta_duration,meta_finished,meta_recorded,meta_captcha,meta_browser,meta_version,meta_operating system,meta_resolution_width,meta_resolution_height,meta_feedback,meta_resolution_ratio,meta_task_duration,meta_state_duration,meta_ace_duration,meta_temp_orient_duration,meta_psychopath_duration,meta_dems_duration,meta_task_duration_z,meta_state_duration_z,meta_ace_duration_z,meta_temp_orient_duration_z,meta_psychopath_duration_z,meta_dems_duration_z,stai_s01,stai_s02,stai_s03,stai_s04,stai_s05,stai_s06,stai_s07,stai_s08,stai_s09,stai_s10,stai_s11,stai_s12,stai_s13,stai_s14,stai_s15,stai_s16,stai_s17,stai_s18,stai_s19,stai_s20,sd_stai,sick,meal,hungry,sleep,rested,stai_s_mean,stai_s_missing,chaos01,chaos02,chaos03,chaos04,chaos05,chaos06,chaos07,chaos08,chaos09,chaos10,chaos11,chaos12,chaos13,chaos14,chaos15,unp01,unp02,unp03,unp04,unp05,unp06,unp07,unp08,unp_moving,unp_other_adults,unp_female_fig_num,unp_female_fig_rom,unp_male_fig_num,unp_male_fig_rom,quic01,quic02,quic03,quic04,quic05,quic06,quic07,quic08,quic09,quic10,quic11,quic12,quic13,quic14,quic15,quic16,quic17,quic18,quic19,quic20,quic21,quic22,quic23,quic24,quic25,quic26,quic27,quic28,quic29,quic30,quic31,quic32,quic33,quic34,quic35,quic36,quic37,change_env01,change_env02,change_env03,change_env04,sd_quic,sd_chaos,pcunp_mean,pcunp_missing,change_env_mean,change_env_missing,chaos_mean,chaos_missing,quic_monitoring_mean,quic_monitoring_missing,quic_par_predict_mean,quic_par_predict_missing,quic_par_env_mean,quic_par_env_missing,quic_phys_env_mean,quic_phys_env_missing,quic_safety_mean,quic_safety_missing,quic_total_mean,quic_total_missing,unp_moving_binned,unp_male_fig_rom_binned,unp_female_fig_rom_binned,unp_subj_comp,unp_obj_comp,unp_comp,violence01,violence02,violence03,violence04,violence05,violence06,violence07,aces_fighting1,aces_fighting2,sd_violence,nvs_mean,nvs_missing,fighting_mean,vio_comp,ses01,ses02,ses03,ses04,ses05,ses06,ses07,dems_edu_first,dems_edu_second,dems_income_past,dems_class_past,sd_ses,edu_caregivers,ses_subj_comp,ses_subj_missing,ses_obj_comp,ses_obj_missing,ses_comp,impuls01,impuls02,impuls03,impuls04,impuls05,fos01,fos02,fos03,fos04,fos05,fos06,fos07,fos08,fos09,fos10,fos11,fos12,fos13,fos14,fos15,sd_fos,impuls_mean,impuls_missing.x,fos_pa_mean,fos_pa_missing,fos_tp_mean,fos_tp_missing,fos_fc_mean,fos_fc_missing,fos_fo_mean,fos_fo_missing,depression01.x,depression02.x,depression03.x,depression04.x,depression05.x,depression06.x,depression07.x,depression08.x,depression09.x,depression10.x,depression11.x,depression12.x,depression13.x,depression14.x,depression15.x,depression16.x,depression17.x,depression18.x,depression19.x,depression20.x,sd_depression.x,depression_mean.x,impuls_missing.y,depression01.y,depression02.y,depression03.y,depression04.y,depression05.y,depression06.y,depression07.y,depression08.y,depression09.y,depression10.y,depression11.y,depression12.y,depression13.y,depression14.y,depression15.y,depression16.y,depression17.y,depression18.y,depression19.y,depression20.y,sd_depression.y,depression_mean.y,impuls_missing,family_composition.x,fam_composition_multiple.x,dems_ethnicity,dems_ethnicity_mixed,dems_age,dems_sex,dems_gender,dems_gender_4_text,dems_born_us,dems_class_current,dems_edu,dems_occupation,dems_income,weight,height,activity,att_check01,att_check02,att_getup,att_interrupted,att_noise,attention_check_sum,attention_interrupt_sum,family_composition.y,fam_composition_multiple.y,ex_narb_NA_selfreport_pass,ex_narb_attention_checks_pass,ex_narb_suspect_responses_pass,ex_narb_resolution_ratio,ex_narb_resolution_height,counterbalance,rt_flanker_congruent_degraded,rt_flanker_congruent_enhanced,rt_flanker_congruent_standard,rt_flanker_incongruent_degraded,rt_flanker_incongruent_enhanced,rt_flanker_incongruent_standard,acc_flanker_congruent_degraded,acc_flanker_congruent_enhanced,acc_flanker_congruent_standard,acc_flanker_incongruent_degraded,acc_flanker_incongruent_enhanced,acc_flanker_incongruent_standard,start_a_flanker_std,start_t0_flanker_std,start_p_flanker_std,start_rd_flanker_std,start_sda_flanker_std,start_g2_flanker_std,start_bbic_flanker_std,a_flanker_std,t0_flanker_std,p_flanker_std,rd_flanker_std,sda_flanker_std,g2_flanker_std,bbic_flanker_std,final_width_px,scale_factor,no_resize,fullscreenenter,fullscreenexit,blur_event,focus_event,event_during_flanker
84,2022-03-18T16:52:32Z,2022-03-18T17:14:42Z,1330,1,2022-03-18T17:14:44Z,0.8999999761581421,Chrome,99.0.4844.51,Macintosh,1280,800,NA,1.6,514,98,284,55,37,95,-0.33689309205599316,-0.11038398349514147,-0.4631445060494686,-0.532039351556705,-0.4906941025550294,-0.03869020864649754,2,2,2,1,2,1,1,2,1,2,3,1,1,1,2,2,1,1,2,2,0.9733285267845752,0,1,1,4,3,1.6,0,1,1,1,3,1,1,1,1,1,1,1,1,3,1,1,1,2,1,1,1,1,1,1,0,2,0,0,0,0,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.9234603452371197,1.9223002094465098,1.125,0,1,0,1.2666666666666666,0,1.1111111111111112,0,1.1666666666666667,0,1,0,1,0,1,0,1.0810810810810811,0,0,0,0,-1.3877497131417202,-0.6205191861769039,-1.004134449659312,5,5,5,3,4,5,3,5,1,1.6761634196950514,4.285714285714286,0,3,1.7190873950021273,5,5,5,5,1,1,1,1,3,1,1,1.9518001458970664,2,3.2857142857142856,0,-1.6168479330435481,0,-1.07009546527469,2,2,2,3,2,5,5,5,5,1,5,5,4,5,5,5,4,5,5,5,1.9198214202665531,2.2,0,4.8,0,4,0,5,0,4.6,0,1,1,1,2,1,1,2,1,1,1,1,1,1,2,1,2,1,1,1,2,1.0399898784932577,1.25,0,1,1,1,2,1,1,2,1,1,1,1,1,1,2,1,2,1,1,1,2,1.0399898784932577,1.25,0,I lived with my mother and father an equal amount of time (joint custody),0,"White, Caucasian, Anglo, European American",0,27,1,2,NA,1,3,3,Daycare Director,2,135,64,2,5,2,0,0,1,0,0,I lived with my mother and father an equal amount of time (joint custody),0,TRUE,TRUE,TRUE,TRUE,TRUE,1,0.601245161293495,0.47063124999869616,0.5162718750010244,0.687875,0.5403562500006519,0.5939687499990687,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,386,1.1437037037037037,0,3,0,0,3,FALSE
85,2022-03-18T16:54:34Z,2022-03-18T17:14:50Z,1215,1,2022-03-18T17:14:50Z,0.8999999761581421,Chrome,99.0.4844.51,Windows NT 10.0,1280,720,NA,1.7777777777777777,569,79,312,66,50,90,-0.22400719418742024,-0.21511523070614935,-0.3615613235283524,-0.3966017743509999,-0.22447716527374886,-0.09485341474625206,3,1,3,2,3,1,1,3,1,3,2,2,3,1,3,3,1,1,3,3,0.8255779474818965,0,1,1,4,4,2.15,0,2,2,2,3,2,2,3,2,2,2,1,2,2,2,2,2,3,3,1,1,2,2,1,1,2,0,0,0,0,2,2,2,2,2,1,1,1,1,1,1,1,1,2,2,3,4,3,1,1,2,2,1,3,2,3,1,1,2,2,2,3,4,3,1,1,1,2,2,2,2,1.4606962838433024,1.0327955589886444,1.875,0,2,0,2.066666666666667,0,1.5555555555555556,0,1.8333333333333333,0,2,0,2.4285714285714284,0,1,0,1.837837837837838,0,1,0,0,-0.37968763642433506,-0.05662557557742737,-0.21815660600088121,2,2,3,2,2,2,2,2,1,0.7867957924694432,2.142857142857143,0,1.5,-0.10369606492267476,4,4,4,4,2,2,3,3,4,3,2,0.9511897312113419,3.5,3.2857142857142856,0,-0.5733927454649965,0,-0.43405491414093966,2,2,3,2,2,3,4,3,4,3,2,3,4,3,3,3,3,3,3,3,0.5345224838248488,2.2,0,2.8,0,3.4,0,3.2,0,3.1333333333333333,0,3,1,3,2,3,2,2,3,2,3,2,2,2,2,1,3,3,3,2,2,0.6569466853317864,2.3,0,3,1,3,2,3,2,2,3,2,3,2,2,2,2,1,3,3,3,2,2,0.6569466853317864,2.3,0,I lived with my mother and father an equal amount of time (joint custody),0,"White, Caucasian, Anglo, European American",0,23,1,2,NA,1,3,6,Receptionist,4,170,67,2,5,2,0,0,0,0,0,I lived with my mother and father an equal amount of time (joint custody),0,TRUE,TRUE,TRUE,TRUE,TRUE,4,0.5725406250134111,0.5094781249836087,0.5232593749761582,0.6274999999769272,0.5664124999791383,0.5817250000238419,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,372,1.1022222222222222,0,3,0,0,3,FALSE
86,2022-03-18T16:53:01Z,2022-03-18T17:14:52Z,1310,1,2022-03-18T17:14:52Z,0.8999999761581421,Chrome,99.0.4844.74,Windows NT 10.0,1536,864,none,1.7777777777777777,617,87,328,104,56,67,-0.12548859241121113,-0.17101786345940917,-0.30351379065914313,0.0712734923596177,-0.10160780960546556,-0.35320416280512285,2,2,2,2,3,1,3,3,3,3,3,3,1,1,3,3,3,2,3,3,0.6708203932499369,0,1,2,3,2,2.45,0,4,3,2,3,3,3,3,3,2,4,4,3,2,3,3,2,4,1,1,1,2,2,3,0,2,0,0,0,0,2,2,2,2,2,1,1,1,1,2,2,3,3,3,2,2,3,3,5,5,3,4,1,2,1,1,1,1,1,1,1,1,2,2,1,3,3,2,2,1,1,1.460182225659569,0.6399404734221844,2,0,1.5,0,3,0,1.5555555555555556,0,3,0,1.6666666666666667,0,1.2857142857142858,0,2.3333333333333335,0,2.054054054054054,0,0,0,0,0.17729569614192908,-0.44815275630616064,-0.13542853008211578,1,1,3,2,1,1,1,3,2,1.5275252316519468,1.4285714285714286,0,2.5,-0.13153274783281477,3,3,3,4,2,2,3,3,3,4,3,0.6900655593423543,3,2.857142857142857,0,-0.1053908767693718,0,-0.381063375364909,2,3,2,2,2,4,4,3,4,2,4,3,2,3,4,3,3,3,4,4,0.7988086367179802,2.2,0,3.4,0,3,0,3.6,0,3.3333333333333335,0,1,1,3,4,2,4,3,4,4,4,3,4,2,4,2,3,1,4,4,4,1.2763022245616642,3.05,0,1,1,3,4,2,4,3,4,4,4,3,4,2,4,2,3,1,4,4,4,1.2763022245616642,3.05,0,I lived with my mother and father an equal amount of time (joint custody),0,"White, Caucasian, Anglo, European American",0,25,0,1,NA,1,2,6,unemployed,3,156,67,3,5,2,0,0,1,0,0,I lived with my mother and father an equal amount of time (joint custody),0,TRUE,TRUE,TRUE,TRUE,TRUE,3,0.5193906249999418,0.49326874999995923,0.5555500000000902,0.6237933333333271,0.5825689655172414,0.6714166666665735,1,1,1,0.9375,0.9354838709677419,0.9375,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,376,1.114074074074074,0,3,0,3,6,FALSE
88,2022-03-18T16:57:37Z,2022-03-18T17:15:41Z,1084,1,2022-03-18T17:15:42Z,1,Chrome,99.0.4844.74,Windows NT 10.0,1920,1080,NA,1.7777777777777777,494,83,287,63,43,56,-0.37794250946274693,-0.19306654708277926,-0.45226059363649185,-0.43353929540710134,-0.36782474688674605,-0.47676321622458273,2,2,1,1,2,1,2,3,1,2,2,1,1,1,2,2,1,2,2,2,0.9445132413883326,0,1,2,3,2,1.65,0,3,2,3,3,4,4,3,3,3,3,2,3,2,3,4,3,3,3,2,2,2,4,2,1,1,1,0,0,0,2,4,4,2,3,2,3,2,2,2,2,2,2,3,3,2,4,3,2,2,3,3,2,1,2,3,1,1,2,1,1,3,3,4,1,1,1,2,2,2,2,1.0953080387268688,0.6546536707079771,2.625,0,2,0,3,0,2.6666666666666665,0,2.5,0,2,0,2.142857142857143,0,1,0,2.27027027027027,0,1,0,0,0.544910601095984,-0.05662557557742737,0.2441425127592783,2,2,3,2,1,2,2,2,1,0.9511897312113419,2,0,1.5,-0.18656444200223082,4,4,4,4,2,2,4,6,6,4,3,1.0690449676496976,6,3.4285714285714284,0,0.4366725657692403,0,0.25905945818897114,3,3,3,3,3,3,3,2,3,4,4,3,3,3,4,4,4,4,3,3,0.7037315505489968,3,0,3.6,0,3.4,0,3,0,3.3333333333333335,0,1,1,1,2,2,1,2,2,1,1,1,2,2,2,2,2,1,2,2,2,0.7677718959499145,1.6,0,1,1,1,2,2,1,2,2,1,1,1,2,2,2,2,2,1,2,2,2,0.7677718959499145,1.6,0,Prefer not to say.,0,"White, Caucasian, Anglo, European American",0,21,0,1,NA,1,3,4,Student,4,140,71,2,5,2,0,0,1,0,0,Prefer not to say.,0,TRUE,TRUE,TRUE,TRUE,TRUE,5,0.5368483870933133,0.5086125000026077,0.5473062500059604,0.6005468749962747,0.5531774193471478,0.6264032258045289,0.96875,1,1,1,0.96875,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,276,0.8177777777777777,0,3,0,0,3,FALSE
89,2022-03-18T16:52:39Z,2022-03-18T17:16:00Z,1401,1,2022-03-18T17:16:01Z,0.8999999761581421,Chrome,99.0.4844.74,Macintosh,1440,900,Thank you!,1.6,669,83,350,96,56,87,-0.018760107153651253,-0.19306654708277926,-0.22369843296398037,-0.02722656378998601,-0.10160780960546556,-0.12855133840610475,2,2,2,2,2,2,3,2,2,2,3,2,1,2,2,2,2,2,2,2,0.6048053188292994,0,1,4,4,4,2.05,0,3,3,2,3,2,2,3,3,2,2,4,3,1,3,2,2,2,2,1,1,2,2,3,4,2,0,0,0,0,2,2,2,1,1,3,2,2,3,2,2,3,2,2,2,1,3,3,2,3,3,2,1,1,1,3,2,1,3,3,1,2,2,2,1,3,3,1,2,2,2,1.196842693269434,0.816496580927726,1.875,0,1.75,0,2.533333333333333,0,2,0,2.3333333333333335,0,1.6666666666666667,0,2,0,2.3333333333333335,0,2.081081081081081,0,2,0,0,-0.06945412091826242,0.07635196034519101,0.0034489197134642963,2,2,3,1,1,2,1,1,1,1.1547005383792515,1.7142857142857142,0,1,-0.5455537974051633,3,3,3,3,3,3,4,5,5,3,3,0.3779644730092272,5,3.142857142857143,0,0.041907061065850786,0,-0.13642417580067887,2,3,3,3,3,4,3,4,4,3,4,3,3,2,4,3,3,5,3,2,0.816496580927726,2.8,0,3.8,0,3,0,3.2,0,3.3333333333333335,0,1,1,1,3,2,1,2,2,2,2,1,2,2,1,2,2,1,1,3,1,0.7863975156570492,1.65,0,1,1,1,3,2,1,2,2,2,2,1,2,2,1,2,2,1,1,3,1,0.7863975156570492,1.65,0,NA,NA,"Black or African American & White, Caucasian, Anglo, European American",1,30,1,3,NA,1,3,6,Internet Safety Evaluator,3,120,62,3,5,2,0,0,0,0,0,NA,NA,TRUE,TRUE,TRUE,TRUE,TRUE,3,0.6816774193548312,0.7870062499999876,0.5743718749999971,0.7573468749999883,0.8498687499999978,0.6374566666666573,1,1,1,1,1,1,0.209,0.301,0.779,0.026,1.697,32.40614321066309,1825.7492963884167,0.195,0.325,0.802,0.025,1.767,38.357514502754505,1820.1426026305908,431,1.2770370370370372,0,3,0,0,3,FALSE
90,2022-03-18T16:55:20Z,2022-03-18T17:16:28Z,1268,1,2022-03-18T17:16:29Z,1,Firefox,98.0,Windows NT 10.0,2560,1440,N/A - No technical issues or otherwise!,1.7777777777777777,585,69,400,60,41,50,-0.1911676602620172,-0.2702369397645745,-0.04229989274770138,-0.4704768164632027,-0.40878119877617386,-0.5441590635442882,1,2,1,1,2,1,2,2,1,1,3,1,1,1,2,1,1,1,4,2,1.190974832912761,0,0,2,3,3,1.55,0,3,2,2,3,2,2,3,3,3,2,2,2,3,3,4,2,2,2,1,2,2,3,2,3,1,1,0,2,0,1,2,3,2,3,3,1,2,1,1,2,1,1,3,3,2,2,2,1,1,1,2,1,1,1,3,1,1,3,3,3,2,2,1,2,4,1,2,2,2,2,1.3852504895934594,0.7037315505489968,2,0,2,0,2.6,0,2,0,1.6666666666666667,0,1.5,0,2.142857142857143,0,2.3333333333333335,0,1.864864864864865,0,2,0,0,-0.08018237383392285,0.16253517528056266,0.041176400723319906,4,4,5,4,2,4,5,3,3,1.4638501094227998,4,0,3,1.5533506408430153,2,3,4,4,1,1,2,6,6,2,1,1.3801311186847085,6,2.4285714285714284,0,-0.6800189858015465,0,-0.9636093791272222,2,2,3,3,3,4,5,3,5,4,4,4,4,3,5,3,4,4,4,3,1.1872336794093274,2.6,0,4,0,4,0,3.8,0,3.933333333333333,0,2,1,1,2,2,4,2,3,2,1,4,3,1,4,1,3,1,4,2,2,1.0894228312566052,2.25,0,2,1,1,2,2,4,2,3,2,1,4,3,1,4,1,3,1,4,2,2,1.0894228312566052,2.25,0,"I lived with my mother, but not father, most of the time.",0,"White, Caucasian, Anglo, European American",0,28,0,1,NA,1,2,4,"Unemployed, free-lance web developer",2,145,68,2,5,2,0,0,1,0,0,"I lived with my mother, but not father, most of the time.",0,TRUE,TRUE,TRUE,TRUE,TRUE,3,0.626875,0.576375,0.5336875,0.6825517241379311,0.7073666666666667,0.7047741935483871,1,1,1,0.90625,0.967741935483871,0.96875,0.108,0.335,0.531,0.009,1.632,48.68214742626613,1881.455433907697,0.108,0.335,0.578,0.009,1.722,49.36200404625037,1874.5995798305646,226,0.6696296296296296,0,3,0,0,3,FALSE
91,2022-03-18T16:50:55Z,2022-03-18T17:16:36Z,1541,1,2022-03-18T17:16:37Z,1,Chrome,99.0.4844.51,Macintosh,1440,900,No feedback,1.6,569,120,386,116,86,139,-0.22400719418742024,0.010883776433393964,-0.09309148400825949,0.21902357658402327,0.512738968735951,0.4555460050313422,2,2,1,1,3,1,2,2,1,2,4,1,1,1,2,2,1,1,3,3,0.8944271909999159,0,1,1,4,2,1.8,0,2,1,1,1,1,1,5,1,1,1,1,1,1,5,1,1,1,1,1,1,1,1,1,1,2,0,0,0,0,1,1,2,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,2,2,1,2,2,1,1,1,1,1,1,1,2,1,1,1,1.8265640794498113,1.869555587629877,1,0,1.25,0,1.6,0,1.1111111111111112,0,1.25,0,1.3333333333333333,0,1.2857142857142858,0,1,0,1.2162162162162162,0,1,0,0,-1.2376525966611487,-0.3151752203835423,-0.7764139085223455,1,1,1,1,1,1,1,3,1,1.9518001458970664,1,0,2,-0.5733904803153034,5,5,5,5,3,3,4,1,4,3,2,1.2909944487358056,2.5,4.285714285714286,0,-0.7540805596445339,0,-0.0022067049116339943,2,3,2,1,2,4,4,4,5,1,2,4,4,4,4,3,2,5,2,1,1.3345232785352157,2,0,3.4,0,2.8,0,3.6,0,3.2666666666666666,0,1,1,1,1,2,1,1,2,2,2,2,2,2,2,1,2,2,2,2,1,0.8522416262267903,1.6,0,1,1,1,1,2,1,1,2,2,2,2,2,2,2,1,2,2,2,2,1,0.8522416262267903,1.6,0,I lived with my mother and father an equal amount of time (joint custody),0,"Hispanic of Latino (e.g., Mexican American, Central American, and others)",0,23,1,2,NA,1,4,4,Restaurant employee,4,122,61,3,5,2,0,0,1,0,0,I lived with my mother and father an equal amount of time (joint custody),0,TRUE,TRUE,TRUE,TRUE,TRUE,2,0.5551968749995576,0.4955531249997439,0.5627437500002561,0.6007500000001165,0.5775548387095332,0.6536406249998836,1,1,1,1,0.96875,1,0.236,0.238,0.738,0.013,1.443,9.261532328232182,1795.3454318108638,0.238,0.24,0.743,0.014,1.505,15.663765050630445,1798.0737503702173,444,1.3155555555555554,0,3,0,0,3,FALSE
92,2022-03-18T16:54:29Z,2022-03-18T17:16:43Z,1334,1,2022-03-18T17:16:44Z,1,Chrome,98.0.4758.107,CrOS x86_64 14388.61.0,1366,768,NA,1.7786458333333333,486,80,231,57,42,80,-0.39436227642544847,-0.20960305980030683,-0.6554269586787244,-0.5074143375193041,-0.38830297283146,-0.2071798269457611,3,3,3,3,4,2,1,3,1,3,3,2,2,2,3,3,2,1,4,3,0.5871429486123998,0,1,4,3,2,2.55,0,2,2,1,1,1,1,2,1,1,1,1,2,1,2,2,1,1,1,1,1,1,1,1,0,2,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.9666895707934864,1.6417180315870614,1,0,1,0,1.4,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,-1.4195407745339985,-0.6205191861769039,-1.0200299803554511,1,1,2,1,1,1,1,1,2,1.7320508075688772,1.1428571428571428,0,1.5,-0.6837747044795675,5,5,5,5,5,5,5,7,8,6,4,1.5118578920369088,7.5,5,0,1.480127753347792,0,1.746793692269112,2,3,2,2,2,4,4,4,4,2,4,4,4,4,4,4,4,4,4,4,1.01418510567422,2.2,0,4,0,3.6,0,4,0,3.8666666666666667,0,2,1,1,2,2,2,2,2,1,1,2,2,1,1,1,2,1,1,2,2,0.7863975156570492,1.55,0,2,1,1,2,2,2,2,2,1,1,2,2,1,1,1,2,1,1,2,2,0.7863975156570492,1.55,0,I lived with my mother and father an equal amount of time (joint custody),0,"White, Caucasian, Anglo, European American",0,29,1,2,NA,1,3,7,Homemaker,5,120,69,3,5,2,0,0,1,0,0,I lived with my mother and father an equal amount of time (joint custody),0,TRUE,TRUE,TRUE,TRUE,TRUE,4,0.5560125000015832,0.45362187499925494,0.4688187499991618,0.6622533333331346,0.5542580645156483,0.5569178571429636,1,1,1,0.967741935483871,0.96875,0.875,0.053,0.368,0.492,0.01,1.429,117.67683763358527,2069.7436624156867,0.056,0.367,0.525,0.012,1.485,135.162975544424,2070.253029657963,346,1.0251851851851852,0,3,0,0,3,FALSE
93,2022-03-18T16:44:45Z,2022-03-18T17:16:45Z,1920,1,2022-03-18T17:16:46Z,1,Firefox,98.0,Windows NT 10.0,1366,768,i left just to brush my teeth lol,1.7786458333333333,770,137,560,120,72,134,0.18853945075045542,0.1045906818327168,0.5381754359443913,0.26827360465882516,0.2260438055099566,0.3993827989315877,2,2,1,1,2,1,1,3,1,2,2,1,1,2,2,1,1,1,3,2,1.025978352085154,0,0,2,5,4,1.6,0,3,4,3,1,1,2,4,3,3,1,1,1,4,3,3,1,1,1,1,1,1,1,1,1,2,0,0,0,0,2,2,3,1,2,1,2,3,4,1,1,2,1,4,3,3,5,5,4,5,4,3,5,1,1,2,1,1,1,2,1,5,3,4,1,1,1,2,2,1,2,1.548029843509613,1.2798809468443688,1,0,1.75,0,2.466666666666667,0,2.2222222222222223,0,3.1666666666666665,0,2.1666666666666665,0,2.4285714285714284,0,1,0,2.4594594594594597,0,1,0,0,-0.31561339194639937,-0.14280879051279902,-0.2292110912295992,2,2,3,1,1,5,3,3,2,1.4960264830861913,2.4285714285714284,0,2.5,0.44854589172407777,4,5,5,5,5,5,3,1,3,1,2,0.7867957924694432,2,4.571428571428571,0,-1.272579847782007,0,-0.16340576231530668,4,4,3,2,3,4,5,4,2,1,4,5,2,3,5,4,5,4,4,1,1.4540583599999397,3.2,0,4.4,0,3.2,0,3,0,3.533333333333333,0,1,2,1,1,3,2,3,1,1,1,1,1,1,2,1,1,1,1,1,1,1.234376040972246,1.35,0,1,2,1,1,3,2,3,1,1,1,1,1,1,2,1,1,1,1,1,1,1.234376040972246,1.35,0,I lived with my mother and father an equal amount of time (joint custody),0,"Hispanic of Latino (e.g., Mexican American, Central American, and others)",0,21,1,2,NA,1,2,1,freelance digital artist but planning to do delivery n shit after i get a bike,1,120,62,3,5,2,1,0,2,0,1,I lived with my mother and father an equal amount of time (joint custody),0,TRUE,TRUE,TRUE,TRUE,TRUE,6,0.598,0.54646875,0.5670322580645162,0.6860344827586207,0.5861333333333333,0.6082,0.9375,1,1,0.9354838709677419,0.9375,0.9375,0.069,0.348,0.312,0.046,1.94,80.43989476464188,1934.6976917067284,0.066,0.351,0.317,0.036,2.116,96.79156069577822,1943.078995227823,348,1.031111111111111,0,3,0,3,6,FALSE
94,2022-03-18T17:01:09Z,2022-03-18T17:16:51Z,942,1,2022-03-18T17:16:52Z,0.8999999761581421,Chrome,98.0.4758.102,Macintosh,1440,900,"I accidentally put 2 women in the household that were romantically invovled. It should only be 2 men, both romantically involved nothing more! Sorry!!",1.6,434,40,274,52,24,63,-0.5010907616830084,-0.4300898960340076,-0.4994242140927244,-0.5689768726128064,-0.7569110398363099,-0.3981347276849264,2,2,2,1,2,1,2,2,1,2,2,2,1,1,3,2,2,1,2,2,0.8750939799154206,0,1,2,3,3,1.75,0,1,1,3,2,3,1,4,1,1,1,1,3,1,3,3,1,1,5,3,1,1,1,1,1,1,2,2,2,2,2,1,1,2,2,2,4,2,2,2,2,1,1,2,4,1,2,1,1,1,1,4,3,1,1,2,1,1,1,1,1,1,2,2,1,1,1,3,1,1,1,1.517663764904237,1.4573295865416045,1.75,0,1.5,0,1.9333333333333333,0,2,0,1.5833333333333333,0,2,0,1.2857142857142858,0,1,0,1.6486486486486487,0,1,2,2,-0.5752567973731191,2.9763858872737474,1.2005645449503142,1,1,1,1,1,1,1,1,1,1.9518001458970664,1,0,1,-0.9598956828029438,5,5,5,5,2,2,5,8,8,3,3,1.8126539343499315,8,4.142857142857143,0,0.5839705036044629,0,0.7359787531022173,3,3,3,3,2,5,3,5,5,4,5,4,5,4,1,5,4,3,4,1,1.5522640914238175,2.8,0,4.2,0,4.2,0,3.2,0,3.8666666666666667,0,1,1,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1.1002392084403616,1.2,0,1,1,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1.1002392084403616,1.2,0,"I lived with my mother, but not father, most of the time.",0,"White, Caucasian, Anglo, European American",0,25,1,2,NA,1,4,6,Medical Student/researcher,5,130,68,2,5,2,0,0,1,0,0,"I lived with my mother, but not father, most of the time.",0,TRUE,TRUE,TRUE,TRUE,TRUE,2,0.4552241379330898,0.48573225806413156,0.5227366666694482,0.5508360000014305,0.464007999997139,0.6326479999923706,1,1,1,0.78125,0.78125,0.78125,0.055,0.343,0.347,0.014,1.966,75.12751731062467,1989.6373841660504,0.055,0.343,0.354,0.015,1.992,89.6527050268787,1987.5428380494236,372,1.1022222222222222,0,3,0,0,3,FALSE
