,mean,std,2.5q,25q,50q,75q,97.5q,mc err
a_subj.27,2.8920110093847686,0.47940617855174034,2.029538355814795,2.553187002058013,2.864326201840016,3.197607086937345,3.9069002428071244,0.011280555247303252
a_subj.28,2.679062629669248,0.4819008230445336,1.783776583807299,2.347422071648717,2.658038703623631,2.986590103364158,3.685585164642308,0.011773498353269164
a_subj.30,2.3704313109614263,0.5501335273685725,1.1698713632370894,2.0328163641802073,2.345334749168897,2.7019110171131473,3.5312648726001354,0.019354300451253113
a_subj.31,1.9773461869122018,0.4447251426928647,1.301949105332683,1.6241003182345872,1.9225881422194768,2.278559588133913,2.9623331015877925,0.010786876291336777
a_subj.32,2.0855317619733347,0.41894263421468914,1.3800371071638209,1.7811150136786584,2.049095321893721,2.3478603892885905,2.982920729535767,0.011847963134580478
a_subj.33,3.047083954812104,0.42454336303016477,2.3017608772305627,2.7274853631319718,3.0253393766745695,3.3404347859818935,3.9134643288820588,0.0064706307036896905
a_subj.34,1.2860999487453844,0.262217636442033,0.9591964060383693,1.1126158255297316,1.224936038484687,1.3825173225097824,2.009299492371543,0.006280305806591775
a_subj.35,3.151781517929771,0.5288409317384245,2.18569709696891,2.7882771703702183,3.125607796100503,3.484981616119343,4.272145340363364,0.012264947327816932
a_subj.36,2.7619060154248176,0.45754722245989593,1.934649116804268,2.441524870233506,2.7377724102841823,3.070178460078534,3.7031051432820474,0.010589734193762832
a_subj.37,2.816673379107355,0.4734580158312369,1.968481815554742,2.4856197759240004,2.788567122625216,3.1160258737657136,3.8249301082060407,0.012463935567028617
a_subj.38,7.69581917606646,0.9963065745901365,5.812660064847616,7.006460707451547,7.6779573636812,8.351499842064625,9.707498283354376,0.02679710700224324
a_subj.39,2.409221168086186,0.4413498036050073,1.5891150731850787,2.0966298257620655,2.3971848221274095,2.7016590402127094,3.288214179655707,0.010058620739700777
a_subj.40,2.9053358190798835,0.3847378188391107,2.1925301110298374,2.644886819595276,2.8863775393586795,3.14823606171243,3.7004175128666272,0.006932734852528638
a_subj.42,3.2711138674706564,0.5331967603670349,2.311053415488208,2.895135690763263,3.2436572192720448,3.6050782048274446,4.422326514439452,0.015021672696377492
a_subj.43,1.3819980445295494,0.4745931196261306,0.8828817410606129,1.0562284051158766,1.1973402427679802,1.5832921383294152,2.6186166493869836,0.02023299000990774
a_subj.45,2.3167006597139452,0.4927671392358629,1.4052182251071232,1.9533445338378912,2.3274835225911317,2.667099673864669,3.2700948137271553,0.012969889232903426
a_subj.46,2.4319830226333643,0.7146677320556476,1.0980387225736319,1.9760917587372226,2.485478550317119,2.9177981084131046,3.760803344098059,0.028122518033087206
a_subj.47,2.728744681659778,0.5203459791309071,1.715114264428363,2.3862380143770983,2.721654715598229,3.0647855320386697,3.7645370558560667,0.013344778089587367
a_subj.48,3.31965495392593,0.5867895425518389,2.2823366189621006,2.904684053423818,3.291568567642525,3.6928738206135567,4.571822023849999,0.015053634359835921
a_subj.50,2.6626057423671905,0.3976250637188368,1.9456245361247342,2.3848427149261493,2.643226996232328,2.924350805425885,3.483303524059086,0.00782009202288106
a_subj.51,0.9702373392987044,0.09026498079040797,0.8058450428648657,0.9063920341823286,0.965753305370737,1.028868123460989,1.1591374023358312,0.0011908975352422706
a_subj.52,2.960318492751806,0.48541800804141416,2.0760515419833716,2.6163381146434093,2.9341167942547375,3.27968318729044,3.9825359457784235,0.011438991956006098
a_subj.53,1.0151132119769446,0.19605439536076125,0.7882390191473917,0.9045098378842031,0.9786080413157653,1.071041593052859,1.5275635922637831,0.005540534512851698
