subj_idx,condition,congruency,response,rt
2,degraded,incongruent,1,0.6246000000238419
2,degraded,incongruent,1,0.6268999999761582
2,degraded,congruent,1,0.5631999999880791
2,degraded,incongruent,0,0.5334000000357628
2,degraded,incongruent,1,0.6440999999642372
2,degraded,incongruent,1,0.6342999999523162
2,degraded,incongruent,1,0.5909000000357628
2,degraded,congruent,1,0.5606999999880791
2,degraded,congruent,1,0.6353000000119209
2,degraded,incongruent,1,0.5906999999880791
2,degraded,congruent,1,0.6161000000238419
2,degraded,incongruent,1,0.5661000000238419
2,degraded,incongruent,1,0.68
2,degraded,congruent,1,0.585
2,degraded,congruent,1,0.5762000000476837
2,degraded,incongruent,1,0.6087000000476838
2,degraded,incongruent,1,0.6891999999880791
2,degraded,congruent,1,0.5851000000238419
2,degraded,congruent,1,0.5171000000238418
2,degraded,incongruent,1,0.5611999999880791
2,degraded,congruent,1,0.6811000000238419
2,degraded,incongruent,1,0.5980999999642372
2,degraded,incongruent,1,0.6233000000119209
2,degraded,congruent,1,0.5752000000476837
2,degraded,incongruent,1,0.6194000000357628
2,degraded,incongruent,1,0.5836999999880791
2,degraded,incongruent,1,0.622
2,degraded,congruent,1,0.606199999988079
2,degraded,congruent,1,0.6083999999761581
2,degraded,incongruent,1,0.5739000000357628
2,degraded,congruent,1,0.5656999999880791
2,degraded,congruent,1,0.5879000000357628
2,degraded,congruent,1,0.6247999999523163
2,degraded,incongruent,1,0.5915
2,degraded,congruent,1,0.542800000011921
2,degraded,incongruent,1,0.6256000000238419
2,degraded,congruent,1,0.5161000000238418
3,standard,incongruent,1,0.7788999999994413
3,standard,incongruent,1,0.6788999999994412
3,standard,congruent,1,0.4785999999996275
3,standard,congruent,1,0.4377000000001863
3,standard,incongruent,1,0.8360999999996275
3,standard,congruent,1,0.6269000000003725
3,standard,congruent,1,0.57
3,standard,congruent,1,0.6385999999996275
3,standard,congruent,1,0.577
3,standard,congruent,1,0.44830000000074505
3,standard,incongruent,1,0.6564000000003726
3,standard,incongruent,1,0.7016000000005588
3,standard,incongruent,1,0.8334000000003725
3,standard,congruent,1,0.7892999999998137
3,standard,incongruent,1,0.6547000000001862
3,standard,incongruent,1,0.8059000000003725
3,standard,congruent,1,0.607
3,standard,incongruent,1,0.6737999999998138
3,standard,incongruent,1,0.8656000000005588
3,standard,congruent,1,0.750699999999255
3,standard,congruent,1,0.70780000000074506
3,standard,congruent,1,0.6534000000003726
3,standard,incongruent,1,0.6405999999996275
3,standard,incongruent,1,0.7085
3,standard,congruent,1,0.8014000000003725
3,standard,incongruent,1,0.6480999999996274
3,standard,incongruent,1,1.1909000000003724
3,standard,incongruent,1,0.811
3,standard,congruent,1,0.6505999999996275
3,standard,congruent,1,0.4993999999994412
3,standard,incongruent,1,0.6817000000001863
3,standard,congruent,1,0.605
3,standard,congruent,1,0.5099000000003725
3,standard,incongruent,1,0.5167000000001862
3,standard,congruent,1,0.7008999999994412
3,standard,incongruent,1,0.6357000000001862
3,standard,incongruent,1,0.8787999999998137
3,standard,incongruent,1,0.7521000000005588
3,standard,incongruent,1,0.8134000000003725
3,standard,congruent,1,0.6825
3,standard,congruent,1,0.5515
3,standard,congruent,1,0.7294000000003725
3,standard,congruent,1,0.5635
3,standard,congruent,1,0.6687000000001863
3,standard,incongruent,1,0.6732000000001863
3,standard,incongruent,1,0.6495999999996275
3,standard,incongruent,1,0.8132000000001862
3,standard,congruent,1,0.6364000000003726
