  dataset        a v_neutral t0_neutral   v_cued  t0_cued  penalty      fit     time   method
 cueing_DDM_subject156   1.8968   4.0190   0.4274   2.3853   0.2319   0.0000 -31.8618   0.0130       ML
 cueing_DDM_subject157   1.0182   3.0974   0.3549   2.7832   0.2861   0.0000 -56.0145   0.0060       ML
 cueing_DDM_subject158   3.2563   3.2740   0.3002   3.1474   0.2074   0.0000 -12.8461   0.0060       ML
 cueing_DDM_subject159   1.4610   3.4194   0.3766   4.4508   0.3246   0.0000 -63.1795   0.0060       ML
 cueing_DDM_subject16   0.9605   2.8924   0.4277   3.8327   0.3833   0.0000 -68.7786   0.0050       ML
 cueing_DDM_subject160   3.8824   9.1314   0.3023  10.4623   0.2741   0.0000 -109.2822   0.0090       ML
 cueing_DDM_subject161   1.3526   2.8329   0.4046   4.9015   0.3682   0.0000 -62.5544   0.0070       ML
 cueing_DDM_subject162   2.8115   8.0243   0.3367   8.7004   0.2740   0.0000 -105.9921   0.0060       ML
 cueing_DDM_subject163   0.9617   4.1942   0.3529   4.0539   0.3066   0.0000 -86.2127   0.0040       ML
 cueing_DDM_subject164  10.0000  10.8226   0.1792  10.4479   0.1262   0.0000 -83.2177   0.0100       ML
 cueing_DDM_subject166   1.4620   4.5550   0.4090   4.9110   0.3402   0.0000 -80.5276   0.0060       ML
 cueing_DDM_subject167   1.0075   2.0971   0.3204   4.1602   0.3206   0.0000 -59.2967   0.0060       ML
 cueing_DDM_subject168  10.0000   9.3195   0.0176  11.3733   0.0164   0.0000 -83.0373   0.0120       ML
 cueing_DDM_subject169  10.0000  10.9178   0.0115  15.1852   0.0679   0.0000 -104.5686   0.0100       ML
 cueing_DDM_subject17   1.2845   3.9241   0.3105   5.8380   0.2957   0.0000 -85.7524   0.0050       ML
 cueing_DDM_subject170   9.9916  12.9819   0.0952  15.7855   0.1118   0.0000 -114.0286   0.0110       ML
 cueing_DDM_subject171   3.0904   4.3220   0.3292   3.4501   0.2240   0.0000 -31.7234   0.0050       ML
 cueing_DDM_subject172   0.9652   2.5264   0.3484   2.1778   0.2950   0.0000 -43.0573   0.0060       ML
 cueing_DDM_subject173   1.8225   3.6045   0.2723   5.9210   0.2880   0.0000 -67.1120   0.0050       ML
 cueing_DDM_subject174   1.2559   2.6997   0.3021   3.7745   0.2350   0.0000 -51.5712   0.0070       ML
 cueing_DDM_subject176   2.1521   6.0336   0.4435   6.2992   0.3348   0.0000 -88.2227   0.0060       ML
 cueing_DDM_subject178   1.2398   2.5058   0.3673   3.1943   0.3248   0.0000 -40.3743   0.0040       ML
 cueing_DDM_subject180   4.1343   4.4584   0.3398   4.3174   0.1668   0.0000 -31.3506   0.0050       ML
 cueing_DDM_subject181   1.1209   3.7964   0.4624   4.3752   0.3960   0.0000 -78.9796   0.0060       ML
 cueing_DDM_subject182   1.5860   4.2890   0.3721   6.6839   0.3479   0.0000 -87.6548   0.0040       ML
 cueing_DDM_subject183   1.3568   4.6774   0.4494   3.1443   0.3108   0.0000 -65.7100   0.0040       ML
 cueing_DDM_subject184   1.0896   3.4947   0.3845   3.9986   0.3157   0.0000 -71.8907   0.0050       ML
 cueing_DDM_subject185   2.3442   3.7797   0.3657   4.7685   0.2617   0.0000 -51.8350   0.0060       ML
 cueing_DDM_subject186   0.9159   1.8001   0.3076   2.9576   0.3062   0.0000 -45.2267   0.0050       ML
 cueing_DDM_subject187   1.1048   4.3629   0.4182   3.6276   0.3538   0.0000 -75.6618   0.0070       ML
 cueing_DDM_subject188   1.2531   3.4206   0.3914   4.1162   0.3263   0.0000 -66.7517   0.0040       ML
 cueing_DDM_subject189   2.2166   2.7467   0.4932   2.0594   0.3814   0.0000  -3.2183   0.0040       ML
 cueing_DDM_subject19   1.0708   2.1890   0.3433   3.1339   0.3278   0.0000 -39.0535   0.0040       ML
 cueing_DDM_subject190   3.2406   5.4818   0.2963   7.2845   0.2755   0.0000 -74.2721   0.0070       ML
 cueing_DDM_subject191   0.9482   2.9243   0.4955   2.3839   0.4765   0.0000 -46.6035   0.0060       ML
 cueing_DDM_subject192   1.0670   3.6385   0.4237   4.0306   0.3614   0.0000 -75.7385   0.0070       ML
 cueing_DDM_subject193   0.9001   4.0409   0.4061   3.1813   0.3300   0.0000 -76.6387   0.0050       ML
 cueing_DDM_subject194   1.6973   4.7722   0.3794   4.2348   0.2830   0.0000 -66.5149   0.0050       ML
 cueing_DDM_subject195   1.1959   2.5335   0.3492   3.3837   0.3213   0.0000 -48.1337   0.0040       ML
 cueing_DDM_subject196   1.4575   4.4119   0.3734   6.7990   0.3688   0.0000 -91.3770   0.0040       ML
 cueing_DDM_subject197   6.0011   8.5676   0.2192  10.1333   0.1912   0.0000 -89.9779   0.0060       ML
 cueing_DDM_subject198   6.1453   8.6531   0.1937   7.0026   0.0279   0.0000 -72.2327   0.0050       ML
