  dataset        a v_neutral t0_neutral   v_cued  t0_cued  penalty      fit     time   method
 cueing_DDM_subject346   1.0183   4.8713   0.3724   2.1630   0.2308   0.0000 -65.9615   0.0070       ML
 cueing_DDM_subject347   1.1970   4.1469   0.3886   5.1498   0.3868   0.0000 -85.1858   0.0070       ML
 cueing_DDM_subject348   1.9353   4.7627   0.4498   5.4904   0.3765   0.0000 -74.7245   0.0070       ML
 cueing_DDM_subject349   1.2438   2.9860   0.4328   2.9391   0.3605   0.0000 -44.4691   0.0060       ML
 cueing_DDM_subject350   1.5230   3.0569   0.4445   3.5275   0.3332   0.0000 -45.2094   0.0170       ML
 cueing_DDM_subject351   4.2264   7.1606   0.3216  10.6019   0.3032   0.0000 -93.8965   0.0100       ML
 cueing_DDM_subject352   1.4327   2.7769   0.3788   2.8193   0.2793   0.0000 -34.2807   0.0070       ML
 cueing_DDM_subject353   1.2271   4.9020   0.2605   7.8287   0.2315   0.0000 -110.7997   0.0070       ML
 cueing_DDM_subject354   1.2738   4.8226   0.4008   5.0637   0.3448   0.0000 -89.2511   0.0080       ML
 cueing_DDM_subject355   1.4508   3.5849   0.7302   1.9680   0.4969   0.0000 -31.2359   0.0080       ML
 cueing_DDM_subject356   1.4131   3.1016   0.3996   5.4662   0.3993   0.0000 -69.6432   0.0070       ML
 cueing_DDM_subject357   1.4057   2.7201   0.3067   4.2384   0.3006   0.0000 -53.4380   0.0070       ML
 cueing_DDM_subject358   5.4857  10.0910   0.2227   8.7862   0.1760   0.0000 -92.6478   0.0110       ML
 cueing_DDM_subject359   1.2526   2.8291   0.3039   6.3296   0.2955   0.0000 -78.2127   0.0070       ML
 cueing_DDM_subject36   2.9240   6.3728   0.3140   8.1853   0.3412   0.0000 -88.3561   0.0100       ML
 cueing_DDM_subject360   1.2149   2.9157   0.3834   4.0783   0.3568   0.0000 -60.4599   0.0070       ML
 cueing_DDM_subject361   1.1586   3.7677   0.3328   8.0321   0.3135   0.0000 -107.9537   0.0040       ML
 cueing_DDM_subject362   1.3292   3.9005   0.3306   3.2039   0.2646   0.0000 -59.6212   0.0060       ML
 cueing_DDM_subject363   1.1949   4.6804   0.3417   4.0998   0.3285   0.0000 -81.7938   0.0080       ML
 cueing_DDM_subject364   4.7478   7.6252   0.4152   7.0754   0.2531   0.0000 -75.6331   0.0090       ML
 cueing_DDM_subject365   1.3590   3.8549   0.4556   3.2508   0.3247   0.0000 -56.8552   0.0070       ML
 cueing_DDM_subject367   1.9170   3.9817   0.3602   3.2324   0.2501   0.0000 -43.8255   0.0080       ML
 cueing_DDM_subject368   1.1231   4.2737   0.3735   5.4785   0.3230   0.0000 -93.2934   0.0070       ML
 cueing_DDM_subject369   1.5582   2.2603   0.4468   3.1397   0.3229   0.0000 -28.3952   0.0060       ML
 cueing_DDM_subject371  10.0000   9.0380   0.1247   8.8938   0.0197   0.0000 -69.4394   0.0090       ML
 cueing_DDM_subject372   1.4503   3.4673   0.4248   5.2915   0.3785   0.0000 -72.7432   0.0060       ML
 cueing_DDM_subject373   1.3274   2.2663   0.3329   3.5460   0.3224   0.0000 -39.8023   0.0070       ML
 cueing_DDM_subject374   1.0931   2.8067   0.3380   5.1188   0.3434   0.0000 -74.2191   0.0090       ML
 cueing_DDM_subject375   1.3324   4.1274   0.3413   5.3545   0.3275   0.0000 -83.6315   0.0070       ML
 cueing_DDM_subject376   1.8329   5.1304   0.3066   5.2465   0.2712   0.0000 -77.4577   0.0310       ML
 cueing_DDM_subject377   1.3900   4.0212   0.3580   6.9274   0.3290   0.0000 -91.8294   0.0070       ML
 cueing_DDM_subject378   1.3821   5.2462   0.4038   6.2013   0.3087   0.0000 -99.1181   0.0080       ML
 cueing_DDM_subject379   2.9373   6.1660   0.3251   9.5596   0.3247   0.0000 -96.6711   0.0090       ML
 cueing_DDM_subject38   1.1055   2.3465   0.3898   2.7526   0.3480   0.0000 -40.7095   0.0080       ML
 cueing_DDM_subject380   1.2170   4.7151   0.5043   3.4968   0.3572   0.0000 -73.5881   0.0070       ML
 cueing_DDM_subject381   1.0241   2.4746   0.3631   3.6165   0.3291   0.0000 -57.0743   0.0080       ML
 cueing_DDM_subject382   1.3223   5.6246   0.3752   3.7999   0.2803   0.0000 -82.5134   0.0070       ML
 cueing_DDM_subject383   0.9528   1.6044   0.2534   3.5055   0.2891   0.0000 -48.9989   0.0070       ML
 cueing_DDM_subject385   1.4628   2.8196   0.4695   3.4859   0.3455   0.0000 -46.0698   0.0080       ML
 cueing_DDM_subject386   1.4177   4.7529   0.5324   3.9458   0.4542   0.0000 -84.9516   0.0150       ML
 cueing_DDM_subject387   1.2682   5.4657   0.3185   6.2031   0.2615   0.0000 -103.7329   0.0080       ML
 cueing_DDM_subject388   1.3126   4.5674   0.3392   4.9508   0.3085   0.0000 -84.8041   0.0080       ML
 cueing_DDM_subject389   1.2337   3.9563   0.3090   4.6140   0.2519   0.0000 -78.2964   0.0080       ML
 cueing_DDM_subject39   3.7502   7.0540   0.3292  11.4157   0.3267   0.0000 -101.3580   0.0100       ML
 cueing_DDM_subject390   6.1178   7.9104   0.2801   7.8635   0.2177   0.0000 -73.6188   0.0090       ML
 cueing_DDM_subject391   1.3642   4.3454   0.4024   5.3243   0.3126   0.0000 -83.5166   0.0070       ML
 cueing_DDM_subject392   1.2050   3.8165   0.3604   6.2489   0.3263   0.0000 -91.1278   0.0090       ML
 cueing_DDM_subject395   1.7700   3.7869   0.3524   3.4214   0.2343   0.0000 -47.7633   0.0070       ML
 cueing_DDM_subject396   1.1881   3.7678   0.3324   4.6750   0.3147   0.0000 -76.7705   0.0070       ML
 cueing_DDM_subject397   0.9151   3.7048   0.3738   3.4580   0.2929   0.0000 -75.5589   0.0070       ML
 cueing_DDM_subject398   1.3223   4.9259   0.4032   4.4140   0.3223   0.0000 -82.7625   0.0050       ML
 cueing_DDM_subject399   6.0371   7.7142   0.1754  11.7819   0.2111   0.0000 -90.8656   0.0080       ML
 cueing_DDM_subject4   1.6462   4.0791   0.3808   3.4146   0.2454   0.0000 -54.2693   0.0060       ML
 cueing_DDM_subject40   0.9530   3.0220   0.3362   5.5705   0.3156   0.0000 -88.2518   0.0060       ML
 cueing_DDM_subject400   1.1987   4.8626   0.3949   6.5495   0.3579   0.0000 -103.5884   0.0080       ML
 cueing_DDM_subject401   3.2625   5.9128   0.2869   6.2661   0.2365   0.0000 -71.5719   0.0070       ML
 cueing_DDM_subject402   1.1014   3.8371   0.3710   3.2815   0.3105   0.0000 -65.2450   0.0060       ML
 cueing_DDM_subject403   1.4694   1.2929   0.4071   1.5872   0.1961   0.0000  14.3720   0.0080       ML
 cueing_DDM_subject404   1.3460   3.9569   0.3040   3.9301   0.2324   0.0000 -67.6205   0.0080       ML
 cueing_DDM_subject406   2.0539   3.2153   0.4045   4.2253   0.3432   0.0000 -42.2278   0.0070       ML
 cueing_DDM_subject407   1.7127   3.7058   0.2746   6.7862   0.2773   0.0000 -78.7984   0.0080       ML
 cueing_DDM_subject408   1.2894   4.3106   0.3671   6.0733   0.3370   0.0000 -92.1749   0.0110       ML
 cueing_DDM_subject41   6.0433   9.1767   0.2344  10.1066   0.2264   0.0000 -91.3380   0.0110       ML
 cueing_DDM_subject411   1.2415   5.1280   0.3502   6.3702   0.3035   0.0000 -103.0728   0.0060       ML
 cueing_DDM_subject412   1.9815   4.2352   0.3551   3.7683   0.2505   0.0000 -52.6680   0.0080       ML
 cueing_DDM_subject413   1.3265   3.8006   0.3838   7.0914   0.3963   0.0000 -88.7918   0.0090       ML
 cueing_DDM_subject414   1.3093   4.0893   0.3973   4.5600   0.3471   0.0000 -76.7959   0.0080       ML
 cueing_DDM_subject415   1.2592   2.9144   0.4287   1.8276   0.2817   0.0000 -27.0881   0.0070       ML
 cueing_DDM_subject416   1.2909   2.7065   0.3924   2.5532   0.3126   0.0000 -35.3775   0.0070       ML
 cueing_DDM_subject417   1.7043   2.8659   0.3341   5.5711   0.3195   0.0000 -57.2116   0.0070       ML
 cueing_DDM_subject418   0.9916   1.9919   0.4475   3.3084   0.4048   0.0000 -48.0429   0.0070       ML
 cueing_DDM_subject419   3.4622   8.5111   0.3003   7.0294   0.2305   0.0000 -91.4818   0.0090       ML
 cueing_DDM_subject420   1.7509   5.4502   0.3647   5.2282   0.3669   0.0000 -83.5464   0.0080       ML
 cueing_DDM_subject421   1.4955   2.4488   0.3011   4.3568   0.2616   0.0000 -49.7371   0.0080       ML
 cueing_DDM_subject422   2.6865   8.0076   0.3535   8.1984   0.2983   0.0000 -104.7677   0.0130       ML
 cueing_DDM_subject423   1.2567   3.4364   0.4179   5.3942   0.4270   0.0000 -79.2162   0.0090       ML
 cueing_DDM_subject424   3.8471   7.1566   0.2541   9.0793   0.2692   0.0000 -88.4226   0.0100       ML
 cueing_DDM_subject425   1.0045   3.4902   0.3374   5.2882   0.3376   0.0000 -87.5999   0.0130       ML
 cueing_DDM_subject426   1.4028   4.1977   0.4289   5.4499   0.3465   0.0000 -81.0792   0.0340       ML
 cueing_DDM_subject427   0.7309   2.4590   0.3518   3.9085   0.3101   0.0000 -78.4708   0.0140       ML
 cueing_DDM_subject428   1.2410   3.1414   0.3808   5.6010   0.3746   0.0000 -77.7685   0.0110       ML
 cueing_DDM_subject429   1.2750   3.0140   0.3771   4.4540   0.3477   0.0000 -64.2888   0.0080       ML
 cueing_DDM_subject43   1.1248   3.4236   0.3273   5.0354   0.3006   0.0000 -80.6277   0.0110       ML
 cueing_DDM_subject430   2.4448   6.6970   0.3232   8.3350   0.3170   0.0000 -100.8521   0.0110       ML
 cueing_DDM_subject431   4.2668   6.7033   0.2016   6.7503   0.1413   0.0000 -70.0700   0.0130       ML
 cueing_DDM_subject432   2.2184   3.5261   0.4407   2.6935   0.2576   0.0000 -25.9735   0.0090       ML
 cueing_DDM_subject433   1.5863   2.2234   0.4325   2.8137   0.3941   0.0000 -21.9964   0.0060       ML
 cueing_DDM_subject435   0.8554   3.2804   0.4089   4.2182   0.3572   0.0000 -83.0583   0.0100       ML
 cueing_DDM_subject436   1.1160   2.1377   0.3294   2.9130   0.2823   0.0000 -37.8009   0.0070       ML
 cueing_DDM_subject438   7.3323  12.6491   0.2393  14.6042   0.2199   0.0000 -117.3231   0.0230       ML
 cueing_DDM_subject439   1.3051   4.0197   0.4387   4.0685   0.3563   0.0000 -69.6270   0.0080       ML
 cueing_DDM_subject44   1.8895   4.3483   0.4198   4.0465   0.3023   0.0000 -57.5599   0.0100       ML
 cueing_DDM_subject440   3.7566   8.2204   0.3298  11.5385   0.3208   0.0000 -110.1107   0.0130       ML
 cueing_DDM_subject441   1.5882   4.6718   0.3707   4.5816   0.3357   0.0000 -74.3101   0.0080       ML
 cueing_DDM_subject443   0.7875   2.2368   0.2847   3.8200   0.3034   0.0000 -71.7794   0.0100       ML
 cueing_DDM_subject444   0.7476   3.4033   0.4139   5.8613   0.3779   0.0000 -103.8530   0.0090       ML
 cueing_DDM_subject445   1.1752   3.9787   0.3662   6.8087   0.3483   0.0000 -97.7775   0.0420       ML
 cueing_DDM_subject446   2.3800   2.8643   0.5067   4.0987   0.4569   0.0000 -31.9532   0.0110       ML
 cueing_DDM_subject447   1.2008   3.3349   0.3364   3.3514   0.2880   0.0000 -57.2280   0.0110       ML
 cueing_DDM_subject448   2.1485   4.9019   0.3693   5.7246   0.2967   0.0000 -73.7554   0.0110       ML
 cueing_DDM_subject449   1.2695   3.6553   0.4653   4.2308   0.3744   0.0000 -70.5072   0.0100       ML
 cueing_DDM_subject45   0.8446   3.4221   0.3129   6.6764   0.3045   0.0000 -106.2503   0.0100       ML
 cueing_DDM_subject450   1.2119   3.2097   0.3748   3.5715   0.3103   0.0000 -60.0171   0.0090       ML
 cueing_DDM_subject451   1.1368   2.4195   0.3939   1.1420   0.2486   0.0000  -9.5915   0.0100       ML
 cueing_DDM_subject452   9.9997  10.6040   0.1086  10.6433   0.0630   0.0000 -84.1227   0.0330       ML
 cueing_DDM_subject453   0.8279   2.6386   0.3857   4.2369   0.3685   0.0000 -76.7959   0.0160       ML
 cueing_DDM_subject454   1.5038   3.8895   0.3763   5.9652   0.3559   0.0000 -79.8084   0.0140       ML
 cueing_DDM_subject456   1.3640   3.5203   0.3154   4.5504   0.2556   0.0000 -69.2193   0.0110       ML
 cueing_DDM_subject457   2.3816   6.8699   0.2846   8.6297   0.2771   0.0000 -102.7252   0.0120       ML
 cueing_DDM_subject458   2.7616   4.3534   0.3299   3.9799   0.2282   0.0000 -43.2283   0.0110       ML
 cueing_DDM_subject460   1.2246   3.0626   0.4803   3.1448   0.3444   0.0000 -49.9325   0.0090       ML
 cueing_DDM_subject462   9.9989   9.3251   0.0548  12.7357   0.1401   0.0000 -84.6799   0.0230       ML
 cueing_DDM_subject463   1.7539   2.1614   0.2882   2.7088   0.2844   0.0000 -14.2848   0.0100       ML
 cueing_DDM_subject464   2.1772   7.9672   0.4018   7.2515   0.3525   0.0000 -106.6334   0.0140       ML
 cueing_DDM_subject465   0.9172   3.8026   0.5042   4.4533   0.4301   0.0000 -86.7650   0.0080       ML
 cueing_DDM_subject466   1.5122   3.8116   0.3559   4.4326   0.3195   0.0000 -66.6335   0.0060       ML
 cueing_DDM_subject467   2.4261   4.3429   0.2379   6.4999   0.2144   0.0000 -70.0134   0.0060       ML
 cueing_DDM_subject468   3.7106  11.5757   0.3490   8.9147   0.2657   0.0000 -112.5027   0.0090       ML
 cueing_DDM_subject469   0.9911   3.5911   0.3439   3.5841   0.3110   0.0000 -73.4353   0.0080       ML
 cueing_DDM_subject47   1.7136   3.9752   0.3787   4.9163   0.3675   0.0000 -73.2770   0.0110       ML
 cueing_DDM_subject470   1.4740   4.8133   0.4160   4.9712   0.3648   0.0000 -80.8735   0.0070       ML
 cueing_DDM_subject471   1.3679   4.1162   0.4036   5.0271   0.3738   0.0000 -78.5268   0.0070       ML
 cueing_DDM_subject472   0.7715   1.6808   0.3881   2.3486   0.3468   0.0000 -51.3753   0.0090       ML
 cueing_DDM_subject473   2.1092   3.5400   0.4094   4.7299   0.2997   0.0000 -52.5484   0.0060       ML
 cueing_DDM_subject474   2.0452   3.6790   0.4477   5.0249   0.3603   0.0000 -58.1328   0.0070       ML
 cueing_DDM_subject476   1.5871   2.9116   0.4515   2.9881   0.3759   0.0000 -35.5647   0.0060       ML
 cueing_DDM_subject477   1.2579   5.0928   0.4337   3.0434   0.3201   0.0000 -70.3533   0.0120       ML
 cueing_DDM_subject478   1.7533   2.7799   0.3102   2.7143   0.2327   0.0000 -25.5970   0.0080       ML
 cueing_DDM_subject479   1.1718   3.8473   0.3810   5.8484   0.3486   0.0000 -89.5817   0.0080       ML
 cueing_DDM_subject48   1.4247   3.2894   0.4611   3.1145   0.3360   0.0000 -47.4660   0.0100       ML
 cueing_DDM_subject480   1.0185   3.2757   0.3894   4.8997   0.3663   0.0000 -80.4244   0.0110       ML
 cueing_DDM_subject481   1.1068   1.8103   0.3435   1.5887   0.2232   0.0000 -14.4006   0.0080       ML
 cueing_DDM_subject482   1.5087   2.9255   0.4621   2.0232   0.2183   0.0000 -20.5430   0.0070       ML
 cueing_DDM_subject483   6.6874  11.2237   0.2201  11.6091   0.1629   0.0000 -105.5562   0.0120       ML
 cueing_DDM_subject484   1.1697   4.0830   0.4441   4.6166   0.3473   0.0000 -82.0103   0.0070       ML
 cueing_DDM_subject485   1.1288   2.7409   0.3993   3.3243   0.3145   0.0000 -53.4016   0.0420       ML
 cueing_DDM_subject486   1.5510   3.1796   0.4261   3.4460   0.3500   0.0000 -47.0681   0.0080       ML
 cueing_DDM_subject487   1.5487   2.9570   0.3541   2.5266   0.2794   0.0000 -30.6434   0.0080       ML
 cueing_DDM_subject488   0.8622   3.3159   0.3711   3.8359   0.3506   0.0000 -79.7999   0.0120       ML
 cueing_DDM_subject489  10.0000  13.9551   0.1019  17.6356   0.1551   0.0000 -120.6088   0.0210       ML
 cueing_DDM_subject49   1.2232   4.3791   0.3947   4.1897   0.3364   0.0000 -78.8819   0.0140       ML
 cueing_DDM_subject491   5.2700   7.4277   0.1426   8.2760   0.1028   0.0000 -78.1669   0.0120       ML
 cueing_DDM_subject492   1.3736   2.9081   0.3915   2.6694   0.3393   0.0000 -36.9429   0.0090       ML
 cueing_DDM_subject493   0.7859   4.0862   0.3055   5.9396   0.2873   0.0000 -108.0050   0.0110       ML
 cueing_DDM_subject494   2.4470   4.7500   0.3235   6.8180   0.2820   0.0000 -76.2773   0.0120       ML
 cueing_DDM_subject495   2.1663   3.7322   0.2980   3.8478   0.2348   0.0000 -45.2309   0.0280       ML
 cueing_DDM_subject496   1.4909   4.3601   0.3817   5.4599   0.2862   0.0000 -75.6743   0.0160       ML
 cueing_DDM_subject497   0.7943   1.4748   0.3099   4.3687   0.3338   0.0000 -61.5210   0.0110       ML
 cueing_DDM_subject498   1.1492   3.2098   0.4760   4.0662   0.4135   0.0000 -67.0789   0.0120       ML
 cueing_DDM_subject499   1.1255   2.2084   0.3222   4.7922   0.3432   0.0000 -61.1016   0.0120       ML
 cueing_DDM_subject5   1.4176   3.0074   0.3742   4.1763   0.3136   0.0000 -56.1129   0.0090       ML
 cueing_DDM_subject50   1.5384   4.0660   0.4699   4.1291   0.3612   0.0000 -65.1987   0.0130       ML
 cueing_DDM_subject500   1.2878   2.9459   0.3308   3.8132   0.2515   0.0000 -56.6450   0.0110       ML
 cueing_DDM_subject501  10.0000  11.2595   0.1942  11.1799   0.1115   0.0000 -88.0350   0.0290       ML
 cueing_DDM_subject502   1.2501   4.3743   0.4280   5.5839   0.3567   0.0000 -90.7336   0.0130       ML
 cueing_DDM_subject503   1.4582   3.5253   0.3079   6.1544   0.3136   0.0000 -78.0375   0.0110       ML
 cueing_DDM_subject504   4.2224   5.4281   0.2938   8.6170   0.2689   0.0000 -72.4027   0.0150       ML
 cueing_DDM_subject505   1.7545   4.4336   0.3053   4.7510   0.2529   0.0000 -69.5210   0.0100       ML
 cueing_DDM_subject506   1.0629   4.0393   0.3079   5.9913   0.3019   0.0000 -97.1417   0.0120       ML
 cueing_DDM_subject507   1.3475   4.9453   0.4125   5.3108   0.3456   0.0000 -89.7435   0.0110       ML
 cueing_DDM_subject508   3.1423   6.2886   0.3737   6.5996   0.2785   0.0000 -76.9243   0.0120       ML
 cueing_DDM_subject510   1.2323   5.5074   0.4216   5.2416   0.3652   0.0000 -98.4661   0.0150       ML
 cueing_DDM_subject511   1.7806   3.5550   0.3661   2.6104   0.2225   0.0000 -33.6565   0.0090       ML
 cueing_DDM_subject512   1.2367   4.1442   0.3997   4.7729   0.3553   0.0000 -80.8469   0.0120       ML
 cueing_DDM_subject513   1.9002   5.2575   0.3687   6.0606   0.3657   0.0000 -84.0095   0.0150       ML
 cueing_DDM_subject514   1.7364   4.9736   0.3498   5.4900   0.3012   0.0000 -81.3405   0.0110       ML
 cueing_DDM_subject515   2.1632   1.5056   0.2335   2.1223   0.3178   0.0000  18.5156   0.0070       ML
 cueing_DDM_subject516   1.0930   3.3029   0.3026   3.9598   0.2763   0.0000 -69.1893   0.0110       ML
 cueing_DDM_subject517   1.0486   3.9171   0.3315   4.8008   0.2860   0.0000 -86.1508   0.0100       ML
 cueing_DDM_subject518   1.4760   3.1066   0.4281   2.1084   0.2402   0.0000 -28.8655   0.0090       ML
 cueing_DDM_subject519   3.9237   8.5820   0.3356   9.1466   0.2698   0.0000 -99.7251   0.0160       ML
 cueing_DDM_subject52   0.9077   2.0793   0.2960   3.9323   0.2502   0.0000 -66.2381   0.0120       ML
 cueing_DDM_subject520   2.0643   3.2347   0.4240   5.1239   0.4043   0.0000 -53.1192   0.0120       ML
 cueing_DDM_subject522   1.1161   3.7489   0.3829   5.7846   0.3716   0.0000 -89.2667   0.0110       ML
 cueing_DDM_subject523  10.0000  12.0875   0.0470  18.0785   0.1318   0.0000 -115.2970   0.0250       ML
 cueing_DDM_subject524   1.0649   3.1390   0.3569   3.7139   0.2919   0.0000 -65.9670   0.0120       ML
 cueing_DDM_subject525   3.1022   5.4793   0.3290   6.6174   0.2555   0.0000 -71.1108   0.0320       ML
 cueing_DDM_subject526   1.0142   3.8449   0.3049   4.8580   0.2579   0.0000 -86.5379   0.0190       ML
 cueing_DDM_subject529   2.8603   5.9359   0.3409   7.3000   0.3563   0.0000 -83.4575   0.0130       ML
 cueing_DDM_subject53   3.4348   3.6455   0.3207   5.3722   0.3323   0.0000 -40.6326   0.0130       ML
 cueing_DDM_subject530   3.3903   8.0211   0.3293   7.3380   0.2526   0.0000 -90.0894   0.0140       ML
 cueing_DDM_subject532   1.7427   1.2564   0.2282   3.3313   0.3565   0.0000  -3.6403   0.0080       ML
 cueing_DDM_subject533   1.4660   4.0591   0.4486   2.9941   0.3798   0.0000 -53.9487   0.0100       ML
 cueing_DDM_subject534   1.2967   3.0018   0.3578   5.2974   0.3314   0.0000 -69.3081   0.0110       ML
 cueing_DDM_subject535   1.5611   2.8182   0.2887   3.3470   0.2776   0.0000 -39.7305   0.0090       ML
 cueing_DDM_subject536   2.9722   5.6709   0.3780   4.8183   0.2770   0.0000 -60.2023   0.0100       ML
 cueing_DDM_subject537   0.9689   2.2012   0.3090   5.3256   0.3271   0.0000 -71.9954   0.0130       ML
 cueing_DDM_subject538   1.0787   3.7356   0.3192   4.2062   0.2539   0.0000 -78.4302   0.0120       ML
 cueing_DDM_subject539   1.3961   3.1002   0.2999   3.6228   0.2871   0.0000 -51.9343   0.0090       ML
 cueing_DDM_subject54   1.7733   4.4087   0.3596   5.4729   0.3048   0.0000 -74.2450   0.0090       ML
 cueing_DDM_subject540   2.1915   5.3767   0.3266   8.0880   0.2998   0.0000 -93.5925   0.0120       ML
 cueing_DDM_subject541   2.5923   5.9024   0.2903   8.5983   0.2815   0.0000 -94.2993   0.0160       ML
 cueing_DDM_subject542   1.9987   4.9968   0.3481   7.3163   0.3249   0.0000 -87.6542   0.0110       ML
 cueing_DDM_subject543   1.9810   3.7130   0.3736   5.8782   0.3835   0.0000 -65.8333   0.0090       ML
 cueing_DDM_subject544   2.7850   5.9736   0.4460   4.5038   0.3593   0.0000 -61.8271   0.0110       ML
 cueing_DDM_subject545   0.9556   3.0759   0.4394   5.2719   0.3960   0.0000 -83.3664   0.0110       ML
 cueing_DDM_subject546   3.1351   8.4554   0.3123   5.6677   0.2032   0.0000 -84.8148   0.0180       ML
 cueing_DDM_subject547   1.5966   2.1634   0.3378   2.1473   0.2640   0.0000  -8.2339   0.0100       ML
 cueing_DDM_subject548   0.8400   1.9887   0.2979   1.9559   0.2429   0.0000 -39.5658   0.0120       ML
 cueing_DDM_subject549   0.9759   2.5970   0.3043   2.5599   0.2686   0.0000 -48.8197   0.0120       ML
 cueing_DDM_subject550   0.9986   3.8830   0.3554   4.9667   0.3519   0.0000 -89.2917   0.0140       ML
 cueing_DDM_subject552   0.8001   2.7452   0.3568   4.0202   0.3432   0.0000 -78.2859   0.0120       ML
 cueing_DDM_subject553   0.9928   4.9432   0.3572   4.9363   0.3129   0.0000 -98.5253   0.0110       ML
 cueing_DDM_subject554   1.2393   2.4425   0.3165   6.6423   0.3517   0.0000 -75.6299   0.0120       ML
 cueing_DDM_subject556   1.2406   3.1779   0.4415   3.4011   0.4095   0.0000 -55.0118   0.0100       ML
 cueing_DDM_subject557   1.9723   4.1436   0.4763   4.7765   0.4127   0.0000 -61.7638   0.0140       ML
 cueing_DDM_subject558   1.2379   4.1499   0.3448   4.9322   0.2972   0.0000 -83.2462   0.0120       ML
 cueing_DDM_subject559   1.3852   3.4257   0.4184   5.9702   0.4052   0.0000 -78.5426   0.0140       ML
 cueing_DDM_subject560   1.1155   5.1023   0.4138   4.1712   0.3530   0.0000 -89.4811   0.0110       ML
 cueing_DDM_subject561   0.9356   1.3137   0.2786   2.7004   0.2630   0.0000 -38.0590   0.0090       ML
 cueing_DDM_subject562   1.6139   3.9939   0.3692   3.8358   0.2870   0.0000 -58.4350   0.0080       ML
 cueing_DDM_subject563  10.0000  12.0830   0.0849  12.4333   0.0717   0.0000 -99.7877   0.0190       ML
 cueing_DDM_subject564   1.0185   3.9915   0.4473   7.0587   0.4195   0.0000 -105.3445   0.0090       ML
 cueing_DDM_subject57   1.5800   3.0244   0.3857   4.0968   0.3258   0.0000 -51.3530   0.0100       ML
 cueing_DDM_subject58   0.8855   1.8615   0.2925   5.1492   0.2971   0.0000 -72.3285   0.0090       ML
 cueing_DDM_subject59   9.9987  14.2700   0.1202  16.5437   0.1130   0.0000 -118.8504   0.0190       ML
 cueing_DDM_subject61   2.9433   6.7355   0.3315   9.1967   0.3005   0.0000 -98.8617   0.0110       ML
 cueing_DDM_subject62   1.0594   3.0020   0.3433   4.9103   0.3201   0.0000 -75.0577   0.0100       ML
 cueing_DDM_subject63   1.4681   5.1053   0.4317   5.9282   0.3823   0.0000 -91.4442   0.0110       ML
 cueing_DDM_subject64   1.2691   3.2510   0.3795   4.6755   0.3319   0.0000 -70.3450   0.0150       ML
 cueing_DDM_subject65   1.5009   3.4739   0.3043   5.1353   0.3056   0.0000 -69.7033   0.0220       ML
 cueing_DDM_subject66   1.7764   3.7479   0.4178   3.3006   0.3183   0.0000 -46.6979   0.0090       ML
 cueing_DDM_subject68   1.5204   4.1712   0.3414   4.5220   0.2761   0.0000 -67.4062   0.0070       ML
 cueing_DDM_subject69   5.5767  11.5037   0.3262   9.1896   0.2301   0.0000 -101.7411   0.0190       ML
 cueing_DDM_subject7   1.2016   2.5193   0.3964   4.3195   0.3646   0.0000 -58.3806   0.0090       ML
 cueing_DDM_subject70   1.3412   3.0878   0.3136   7.2563   0.3339   0.0000 -84.3361   0.0110       ML
 cueing_DDM_subject71   1.3090   3.2409   0.4027   3.6414   0.3045   0.0000 -55.8512   0.0110       ML
 cueing_DDM_subject72   1.6727   5.5042   0.5195   5.1875   0.4379   0.0000 -85.5806   0.0110       ML
 cueing_DDM_subject73   2.0656   6.7902   0.2903   8.7521   0.2666   0.0000 -106.9036   0.0260       ML
 cueing_DDM_subject74   1.7368   4.0901   0.4976   4.4456   0.3799   0.0000 -63.5463   0.0110       ML
 cueing_DDM_subject76   1.3864   3.9247   0.3015   6.9063   0.2808   0.0000 -90.6182   0.0100       ML
 cueing_DDM_subject77   1.0495   4.4792   0.3974   4.1270   0.3251   0.0000 -86.3234   0.0110       ML
 cueing_DDM_subject78   2.4190   6.7392   0.4608   5.8255   0.3576   0.0000 -82.4171   0.0120       ML
 cueing_DDM_subject79   1.1093   2.5874   0.2884   7.3825   0.3317   0.0000 -87.3855   0.0130       ML
 cueing_DDM_subject8   1.0609   3.2571   0.3704   3.9948   0.3228   0.0000 -68.9227   0.0100       ML
 cueing_DDM_subject80   2.2318   3.5278   0.4824   3.8585   0.4026   0.0000 -38.9585   0.0100       ML
 cueing_DDM_subject81   1.0641   3.0342   0.3960   2.2147   0.2659   0.0000 -46.6699   0.0110       ML
 cueing_DDM_subject82   1.2686   5.4641   0.3846   5.6293   0.3122   0.0000 -99.2851   0.0120       ML
 cueing_DDM_subject83   1.4049   4.4164   0.3279   5.8786   0.2962   0.0000 -87.2364   0.0100       ML
 cueing_DDM_subject84   1.9589   4.6948   0.2966   5.2101   0.2513   0.0000 -67.2575   0.0110       ML
 cueing_DDM_subject85   1.0243   2.8105   0.3586   3.7910   0.3478   0.0000 -64.0590   0.0120       ML
 cueing_DDM_subject86   0.9942   4.3842   0.4199   3.4612   0.3242   0.0000 -77.9371   0.0190       ML
 cueing_DDM_subject87   1.5047   2.6079   0.4379   3.7174   0.3957   0.0000 -43.4203   0.0100       ML
 cueing_DDM_subject88   2.2954   4.8057   0.3102   4.4363   0.2438   0.0000 -59.1243   0.0110       ML
