  dataset        a        v       t0  penalty      fit     time   method
 par_sim1302   1.1635   1.7409   0.4029   0.0000  -8.7388   0.0040       ML
 par_sim1303   1.4533   0.4497   0.6206   0.0000  43.0780   0.0040       ML
 par_sim1304   1.4536   0.7213   0.5064   0.0000  35.2892   0.0030       ML
 par_sim1305   1.6038   1.5075   0.4663   0.0000  14.9871   0.0030       ML
 par_sim1306   1.5860   1.0386   0.4881   0.0000  31.8058   0.0030       ML
 par_sim1307   1.5455   1.3138   0.6621   0.0000  19.5711   0.0030       ML
 par_sim1308   1.1752   1.7058   0.5929   0.0000  -6.8998   0.0040       ML
 par_sim1309   1.0995   1.7639   0.6851   0.0000 -11.1501   0.0040       ML
 par_sim131   1.2888   1.0797   0.6096   0.0000  16.4281   0.0040       ML
 par_sim1310   1.1113   0.5081   0.5044   0.0000  17.6215   0.0030       ML
 par_sim1311   1.4847   0.3210   0.2435   0.0000  48.3300   0.0030       ML
 par_sim1312   1.1746   0.7990   0.6293   0.0000  16.8394   0.0040       ML
 par_sim1313   1.6505   0.4565   0.4495   0.0000  53.5366   0.0030       ML
 par_sim1314   1.2208   0.8225   0.6223   0.0000  21.2521   0.0030       ML
 par_sim1315   1.5318   0.2599   0.6016   0.0000  51.4562   0.0030       ML
 par_sim1316   1.1016   1.1506   0.5763   0.0000   3.4637   0.0030       ML
 par_sim1317   1.1737   0.5928   0.4129   0.0000  16.9703   0.0040       ML
 par_sim1318   2.0470   0.5720   0.5726   0.0000  66.7828   0.0030       ML
 par_sim1319   1.1698   1.0446   0.6678   0.0000  12.1120   0.0030       ML
 par_sim132   1.3030   0.6550   0.6616   0.0000  27.7175   0.0030       ML
 par_sim1320   1.3475   0.3571   0.6671   0.0000  37.7501   0.0040       ML
 par_sim1321   1.4309   0.7271   0.4117   0.0000  34.5236   0.0030       ML
 par_sim1322   1.4241   0.8808   0.5047   0.0000  30.0092   0.0040       ML
 par_sim1323   1.5444   1.6575   0.6260   0.0000   8.7667   0.0030       ML
 par_sim1324   1.6867   1.0726   0.5456   0.0000  34.2612   0.0030       ML
 par_sim1325   1.2855   1.2070   0.5012   0.0000  11.8570   0.0140       ML
 par_sim1326   1.2526   1.0987   0.4657   0.0000  14.4614   0.0030       ML
 par_sim1327   1.8483   1.1336   0.3923   0.0000  37.4234   0.0030       ML
 par_sim1328   1.3903   1.0124   0.5589   0.0000  23.1698   0.0040       ML
 par_sim1329   1.0851   0.6931   0.3750   0.0000  11.6024   0.0030       ML
 par_sim133   1.1610   1.4351   0.5053   0.0000  -0.1828   0.0040       ML
 par_sim1330   1.6211   0.9469   0.5970   0.0000  35.9189   0.0030       ML
 par_sim1331   1.9697   0.7825   0.4574   0.0000  55.1989   0.0040       ML
 par_sim1332   1.1155   0.9286   0.4300   0.0000   9.9122   0.0090       ML
 par_sim1333   1.3728   1.4429   0.5832   0.0000   9.5339   0.0060       ML
 par_sim1334   1.2845   0.6563   0.4350   0.0000  27.2177   0.0030       ML
 par_sim1335   1.3923   1.1050   0.3159   0.0000  20.6335   0.0100       ML
 par_sim1336   1.3759   0.7686   0.3803   0.0000  29.4866   0.0030       ML
 par_sim1337   1.1880   2.0086   0.4068   0.0000 -14.0753   0.0040       ML
 par_sim1338   1.4527   1.1852   0.4731   0.0000  19.6844   0.0050       ML
 par_sim1339   1.2317   1.1519   0.3616   0.0000  10.3555   0.0040       ML
 par_sim134   1.6745   1.1548   0.4557   0.0000  31.0590   0.0040       ML
 par_sim1340   1.5537   1.1860   0.4839   0.0000  24.6418   0.0030       ML
 par_sim1341   0.9933   0.0005   0.2679   0.0000   6.7887   0.0040       ML
 par_sim1342   1.3996   1.2793   0.7105   0.0000  16.1417   0.0040       ML
 par_sim1343   1.2924   1.2382   0.5214   0.0000  13.5477   0.0040       ML
 par_sim1344   1.4405   0.4585   0.5755   0.0000  41.3734   0.0030       ML
 par_sim1345   1.6599  -0.0488   0.4207   0.0000  58.4474   0.0040       ML
 par_sim1346   1.1575   0.8140   0.5647   0.0000  14.9027   0.0040       ML
 par_sim1347   1.0511   1.2117   0.5329   0.0000  -1.4399   0.0030       ML
 par_sim1348   1.2928   0.1254   0.5193   0.0000  33.7311   0.0040       ML
 par_sim1349   1.4219   2.0558   0.3898   0.0000  -8.6842   0.0030       ML
 par_sim135   1.3746   0.8754   0.4437   0.0000  24.8621   0.0040       ML
 par_sim1350   1.3931   0.8291   0.5852   0.0000  29.2027   0.0030       ML
 par_sim1351   1.8630   0.3480   0.5712   0.0000  68.5201   0.0030       ML
 par_sim1352   0.8467   0.6658   0.5354   0.0000  -9.3663   0.0040       ML
 par_sim1353   1.2053   0.2018   0.5375   0.0000  26.4539   0.0040       ML
 par_sim1354   1.1242   1.0257   0.3503   0.0000   7.8066   0.0040       ML
 par_sim1355   1.2119   0.3433   0.3799   0.0000  24.6993   0.0030       ML
 par_sim1356   1.4321   0.2162   0.4116   0.0000  47.0724   0.0030       ML
 par_sim1357   1.5217   1.0179   0.4779   0.0000  28.7781   0.0030       ML
 par_sim1358   1.1185   0.6868   0.5937   0.0000  12.9466   0.0050       ML
 par_sim1359   1.6318  -0.0482   0.5895   0.0000  59.9661   0.0030       ML
 par_sim136   1.3342   0.4352   0.5773   0.0000  33.6908   0.0040       ML
 par_sim1360   1.0794   1.0984   0.4427   0.0000   1.7453   0.0030       ML
 par_sim1361   1.3017   1.1329   0.5794   0.0000  16.9122   0.0030       ML
 par_sim1362   1.5440   0.7548   0.6822   0.0000  38.9999   0.0030       ML
 par_sim1363   0.8368   2.2062   0.5708   0.0000 -37.3527   0.0030       ML
 par_sim1364   1.3078   0.6649   0.6825   0.0000  26.6967   0.0030       ML
 par_sim1365   0.9188   2.4384   0.3244   0.0000 -37.3267   0.0020       ML
 par_sim1366   1.1273   0.8325   0.4532   0.0000  12.6125   0.0030       ML
 par_sim1367   1.1622   2.1530   0.4013   0.0000 -19.8101   0.0020       ML
 par_sim1368   1.5578   0.9645   0.5327   0.0000  33.4176   0.0030       ML
 par_sim1369   0.9818   1.2672   0.5092   0.0000  -6.5408   0.0030       ML
 par_sim137   0.8095   1.4161   0.4261   0.0000 -24.4542   0.0030       ML
 par_sim1370   1.5613   1.1814   0.2325   0.0000  24.8875   0.0020       ML
 par_sim1371   1.3140   0.7174   0.6062   0.0000  27.7523   0.0030       ML
 par_sim1372   0.9323   1.8465   0.4682   0.0000 -21.6341   0.0020       ML
 par_sim1373   1.4258  -0.0004   0.3709   0.0000  44.2489   0.0020       ML
 par_sim1374   1.4297   0.4664   0.7428   0.0000  39.8454   0.0050       ML
 par_sim1375   1.0858   0.4451   0.4715   0.0000  15.7786   0.0030       ML
 par_sim1376   1.1472   0.5631   0.5793   0.0000  20.3437   0.0030       ML
 par_sim1377   1.3520   0.4253   0.6098   0.0000  36.0091   0.0030       ML
 par_sim1378   0.9145   0.9063   0.6689   0.0000  -5.4423   0.0040       ML
 par_sim1379   1.4795   1.3855   0.5086   0.0000  14.4674   0.0040       ML
 par_sim138   0.9621   0.5032   0.4140   0.0000   3.6503   0.0030       ML
 par_sim1380   1.1518   0.4916   0.3840   0.0000  20.9775   0.0030       ML
 par_sim1381   1.5180   0.4929   0.3858   0.0000  45.6152   0.0030       ML
 par_sim1382   1.0759   1.2935   0.6140   0.0000  -1.7177   0.0030       ML
 par_sim1383   1.7837   1.7206   0.5185   0.0000  11.4824   0.0040       ML
 par_sim1384   0.9620   0.7734   0.5943   0.0000   0.5057   0.0040       ML
 par_sim1385   1.3340   1.6601   0.4040   0.0000   1.0374   0.0030       ML
 par_sim1386   0.9787   0.7503   0.5626   0.0000   3.1008   0.0040       ML
 par_sim1387   1.0756   0.8642   0.5370   0.0000   8.6781   0.0040       ML
 par_sim1388   1.2811   0.3772   0.4727   0.0000  32.2162   0.0030       ML
 par_sim1389   1.3743   2.2350   0.6778   0.0000 -14.6186   0.0030       ML
 par_sim139   1.1664   0.4178   0.2523   0.0000  22.3506   0.0020       ML
 par_sim1390   1.3472   1.2181   0.8292   0.0000  15.7744   0.0020       ML
 par_sim1391   1.2909   0.9782   0.4957   0.0000  19.7247   0.0020       ML
 par_sim1392   0.6158   1.3627   0.7190   0.0000 -45.8670   0.0040       ML
 par_sim1393   1.1174   0.4329   0.4521   0.0000  18.5654   0.0040       ML
 par_sim1394   1.1023   1.2594   0.3023   0.0000   1.0329   0.0030       ML
 par_sim1395   1.6175   0.6382   0.5904   0.0000  47.4469   0.0020       ML
 par_sim1396   1.1669   1.5472   0.6997   0.0000  -2.5413   0.0030       ML
 par_sim1397   1.3564   1.6279   0.6060   0.0000   2.8468   0.0020       ML
 par_sim1398   1.0180   2.0401   0.6824   0.0000 -21.5838   0.0030       ML
 par_sim1399   1.6512   0.8861   0.4914   0.0000  37.4229   0.0020       ML
 par_sim14   1.3022   0.3075   0.5018   0.0000  34.6636   0.0020       ML
 par_sim140   1.3027   1.0097   0.6748   0.0000  17.3857   0.0030       ML
 par_sim1400   1.8802   0.7203   0.6553   0.0000  56.2602   0.0020       ML
 par_sim1401   1.4124   0.6734   0.5552   0.0000  34.2046   0.0020       ML
 par_sim1402   1.1823   0.6371   0.5682   0.0000  20.0758   0.0030       ML
 par_sim1403   0.8968   1.2867   0.3124   0.0000 -14.7110   0.0040       ML
 par_sim1404   1.4178   0.7573   0.3222   0.0000  31.1443   0.0030       ML
 par_sim1405   1.7446   1.3431   0.4281   0.0000  25.5697   0.0030       ML
 par_sim1406   1.9963   1.7920   0.4952   0.0000  12.7856   0.0030       ML
 par_sim1407   1.0764   0.6960   0.3235   0.0000  11.0842   0.0030       ML
 par_sim1408   1.3862   1.1419   0.5196   0.0000  17.9362   0.0040       ML
 par_sim1409   1.5593  -0.1019   0.5515   0.0000  53.7305   0.0030       ML
 par_sim141   0.8311   1.6209   0.5380   0.0000 -24.9734   0.0030       ML
 par_sim1410   1.7365   0.4802   0.5750   0.0000  58.2836   0.0030       ML
 par_sim1411   1.0296   0.6415   0.4649   0.0000   7.7630   0.0130       ML
 par_sim1412   1.1753   0.4797   0.6702   0.0000  23.3438   0.0040       ML
 par_sim1413   1.4200   0.2884   0.3485   0.0000  41.7183   0.0030       ML
 par_sim1414   1.7338   0.9781   0.6412   0.0000  41.5775   0.0030       ML
 par_sim1415   1.2576   0.2599   0.6168   0.0000  30.0462   0.0030       ML
 par_sim1416   1.4093   1.3370   0.4949   0.0000  13.3073   0.0030       ML
 par_sim1417   1.5913   0.8379   0.5442   0.0000  40.7380   0.0030       ML
 par_sim1418   1.0250   0.2339   0.5541   0.0000  11.2408   0.0040       ML
 par_sim1419   0.9762   0.6590   0.3710   0.0000   4.4462   0.0030       ML
 par_sim142   1.7106   0.7780   0.5345   0.0000  48.0803   0.0030       ML
 par_sim1420   1.6833   0.5145   0.6709   0.0000  52.3341   0.0030       ML
 par_sim1421   1.9740   2.1066   0.4743   0.0000   1.4449   0.0030       ML
 par_sim1422   1.2931   0.4352   0.6297   0.0000  33.0234   0.0030       ML
 par_sim1423   1.2502   0.0002   0.4255   0.0000  32.6772   0.0030       ML
 par_sim1424   1.6608   1.2531   0.3634   0.0000  27.2479   0.0030       ML
 par_sim1425   1.0293   0.5379   0.6215   0.0000  11.4918   0.0030       ML
 par_sim1426   1.2978   1.2853   0.5216   0.0000  10.8892   0.0040       ML
 par_sim1427   1.5115   1.4133   0.3828   0.0000  15.9866   0.0030       ML
 par_sim1428   1.2760   2.4173   0.4080   0.0000 -22.3311   0.0040       ML
 par_sim1429   1.4682   1.1217   0.5206   0.0000  24.1713   0.0040       ML
 par_sim143   1.4490   0.9392   0.5520   0.0000  29.8099   0.0030       ML
 par_sim1430   1.3595   0.7637   0.5470   0.0000  29.5825   0.0030       ML
 par_sim1431   0.9812   2.2036   0.6260   0.0000 -28.0047   0.0030       ML
 par_sim1432   1.4852   1.1488   0.3986   0.0000  22.7750   0.0040       ML
 par_sim1433   0.8986   0.0004   0.5632   0.0000  -0.9582   0.0040       ML
 par_sim1434   1.3141   1.3700   0.3410   0.0000   9.3859   0.0030       ML
 par_sim1435   1.5662   1.0256   0.6959   0.0000  32.5250   0.0040       ML
 par_sim1436   1.8080   0.7408   0.4467   0.0000  53.0847   0.0040       ML
 par_sim1437   1.3568   1.3022   0.5508   0.0000  14.1058   0.0040       ML
 par_sim1438   1.4387   1.0408   0.5403   0.0000  25.8429   0.0030       ML
 par_sim1439   1.2583   1.1673   0.6578   0.0000  13.8140   0.0030       ML
 par_sim144   1.6097   0.8507   0.5253   0.0000  39.9514   0.0030       ML
 par_sim1440   1.1299   0.6910   0.4927   0.0000  12.7746   0.0040       ML
 par_sim1441   1.8212   0.5864   0.8275   0.0000  56.7059   0.0040       ML
 par_sim1442   1.3307   1.0050   0.4106   0.0000  22.5144   0.0030       ML
 par_sim1443   1.7238   1.2671   0.5900   0.0000  27.5210   0.0030       ML
 par_sim1444   1.7093   0.7505   0.8406   0.0000  46.6887   0.0030       ML
 par_sim1445   1.4783   0.9140   0.6669   0.0000  32.3479   0.0030       ML
 par_sim1446   1.5316   0.8802   0.3673   0.0000  35.9734   0.0030       ML
 par_sim1447   0.8823   1.0653   0.3884   0.0000 -11.9695   0.0020       ML
 par_sim1448   1.5544   1.0636   0.3916   0.0000  29.5054   0.0030       ML
 par_sim1449   1.2966   0.9725   0.4558   0.0000  20.2198   0.0030       ML
 par_sim145   1.0125   0.4828   0.5005   0.0000   8.0475   0.0030       ML
 par_sim1450   1.5311   0.8954   0.4277   0.0000  34.6241   0.0030       ML
 par_sim1451   1.1188   1.2064   0.3896   0.0000   4.6644   0.0040       ML
 par_sim1452   1.0243   1.7051   0.3978   0.0000 -13.2281   0.0040       ML
 par_sim1453   1.5260   1.3851   0.6784   0.0000  17.6771   0.0030       ML
 par_sim1454   1.3025   2.1868   0.6192   0.0000 -15.8677   0.0040       ML
 par_sim1455   1.2367   1.4597   0.4207   0.0000   3.2062   0.0030       ML
 par_sim1456   1.3566   0.9857   0.5946   0.0000  24.5476   0.0020       ML
 par_sim1457   0.9594   0.6741   0.3921   0.0000   2.3150   0.0020       ML
 par_sim1458   1.6943   1.1677   0.6148   0.0000  30.6509   0.0020       ML
 par_sim1459   1.4073   1.7443   0.4248   0.0000   0.9256   0.0020       ML
 par_sim146   0.8537   1.0180   0.4622   0.0000 -16.0749   0.0030       ML
 par_sim1460   1.3273   0.2985   0.6344   0.0000  37.5263   0.0030       ML
 par_sim1461   1.9985   0.8814   0.4000   0.0000  52.9930   0.0030       ML
 par_sim1462   1.5259   1.0929   0.5508   0.0000  27.0282   0.0040       ML
 par_sim1463   0.9691   0.4166   0.2080   0.0000   4.5610   0.0040       ML
 par_sim1464   1.6831   1.8384   0.4994   0.0000   5.0510   0.0030       ML
 par_sim1465   1.2671   1.8881   0.4836   0.0000  -7.7239   0.0030       ML
 par_sim1466   1.5464   1.6489   0.4477   0.0000   7.5683   0.0020       ML
 par_sim1467   1.4239   0.9605   0.6999   0.0000  27.7222   0.0030       ML
 par_sim1468   1.0301   0.8086   0.6855   0.0000   5.9601   0.0020       ML
 par_sim1469   1.2931   0.9679   0.4724   0.0000  20.4697   0.0020       ML
 par_sim147   1.7855   0.1356   0.6616   0.0000  66.3202   0.0040       ML
 par_sim1470   1.0981   1.1263   0.4510   0.0000   5.0527   0.0030       ML
 par_sim1471   1.7686   1.0464   0.5028   0.0000  37.2716   0.0030       ML
 par_sim1472   1.4939   0.5117   0.5509   0.0000  42.4191   0.0030       ML
 par_sim1473   1.2316   0.4625   0.5337   0.0000  27.3058   0.0040       ML
 par_sim1474   1.4523   0.1618   0.4631   0.0000  47.9677   0.0030       ML
 par_sim1475   1.2149   1.0236   0.4218   0.0000  14.7761   0.0030       ML
 par_sim1476   1.5529   0.4255   0.5880   0.0000  48.8744   0.0020       ML
 par_sim1477   1.2382   0.7428   0.2143   0.0000  23.5764   0.0020       ML
 par_sim1478   1.3695   1.6930   0.4370   0.0000   2.1334   0.0020       ML
 par_sim1479   1.3587   0.9513   0.7259   0.0000  22.9647   0.0030       ML
 par_sim148   1.7037   1.0436   0.3875   0.0000  36.3945   0.0040       ML
 par_sim1480   1.0868   0.5297   0.4994   0.0000  13.9236   0.0060       ML
 par_sim1481   1.3670   1.0055   0.6865   0.0000  23.1645   0.0040       ML
 par_sim1482   1.1511   1.7371   0.6651   0.0000  -8.7205   0.0040       ML
 par_sim1483   1.2282   2.1099   0.6520   0.0000 -15.0331   0.0170       ML
 par_sim1484   1.5999   1.6150   0.4910   0.0000  11.5697   0.0030       ML
 par_sim1485   1.6504   1.4877   0.9283   0.0000  16.6706   0.0030       ML
 par_sim1486   1.4477   0.8717   0.4005   0.0000  31.2198   0.0030       ML
 par_sim1487   1.4301   1.1676   0.6389   0.0000  20.4389   0.0030       ML
 par_sim1488   1.5502   0.5427   0.3745   0.0000  46.1593   0.0030       ML
 par_sim1489   1.3021   0.8565   0.6470   0.0000  25.0980   0.0030       ML
 par_sim149   1.1425   1.8877   0.5600   0.0000 -12.7630   0.0030       ML
 par_sim1490   1.9720   1.2971   0.6000   0.0000  33.1139   0.0030       ML
 par_sim1491   0.8786   1.0995   0.5047   0.0000 -14.5752   0.0030       ML
 par_sim1492   1.7588   2.3458   0.5857   0.0000  -9.5921   0.0030       ML
 par_sim1493   1.8178   1.2177   0.7217   0.0000  31.8462   0.0030       ML
 par_sim1494   1.6078   1.3352   0.6958   0.0000  21.7982   0.0020       ML
 par_sim1495   1.5532   1.5564   0.3515   0.0000  11.8379   0.0030       ML
 par_sim1496   1.4686   0.8438   0.5058   0.0000  33.8272   0.0030       ML
 par_sim1497   1.7666   2.1047   0.6298   0.0000  -2.0111   0.0030       ML
 par_sim1498   1.3110   0.5822   0.5026   0.0000  29.3699   0.0020       ML
 par_sim1499   1.9768   0.8314   0.5226   0.0000  54.1056   0.0020       ML
 par_sim15   1.1121   1.5851   0.3750   0.0000  -5.6133   0.0020       ML
 par_sim150   1.2615   0.8183   0.5862   0.0000  22.5382   0.0040       ML
 par_sim1500   1.2829   1.0680   0.4609   0.0000  17.1853   0.0040       ML
 par_sim1501   1.0093   1.0431   0.5232   0.0000  -1.2319   0.0030       ML
 par_sim1502   1.7418   0.5424   0.6638   0.0000  55.6620   0.0020       ML
 par_sim1503   1.1117   0.7510   0.4420   0.0000  13.5624   0.0030       ML
 par_sim1504   1.4665   0.9234   0.5915   0.0000  31.4067   0.0030       ML
 par_sim1505   1.5079   0.8377   0.4550   0.0000  35.2239   0.0030       ML
 par_sim1506   1.3952   0.8204   0.5934   0.0000  30.0785   0.0030       ML
 par_sim1507   1.0630   1.5369   0.5461   0.0000  -7.7594   0.0030       ML
 par_sim1508   1.5588   0.8384   0.5060   0.0000  35.8798   0.0030       ML
 par_sim1509   1.7534   0.6645   0.5630   0.0000  51.5734   0.0020       ML
 par_sim151   1.4011   0.9044   0.5409   0.0000  27.5431   0.0030       ML
 par_sim1510   1.3365   1.6084   0.4422   0.0000   3.2234   0.0030       ML
 par_sim1511   1.7210   0.4972   0.6053   0.0000  55.4624   0.0040       ML
 par_sim1512   0.8157   1.1380   0.4689   0.0000 -18.8877   0.0040       ML
 par_sim1513   1.3198   1.3700   0.5440   0.0000   9.6787   0.0040       ML
 par_sim1514   1.4852   0.7783   0.4003   0.0000  35.6982   0.0040       ML
 par_sim1515   1.8468   0.8503   0.4943   0.0000  50.5412   0.0030       ML
 par_sim1516   1.4883   1.9614   0.6976   0.0000  -3.0746   0.0040       ML
 par_sim1517   1.4670   0.9273   0.6027   0.0000  30.9942   0.0040       ML
 par_sim1518   1.8182   0.7693   0.6307   0.0000  50.5203   0.0030       ML
 par_sim1519   1.7887   0.7012   0.4899   0.0000  52.8973   0.0030       ML
 par_sim152   1.4896   1.0576   0.5054   0.0000  28.8231   0.0030       ML
 par_sim1520   1.3861  -0.3551   0.3917   0.0000  38.8361   0.0040       ML
 par_sim1521   1.1283   0.8303   0.2737   0.0000  12.8706   0.0040       ML
 par_sim1522   1.6721   0.8304   0.3142   0.0000  42.6931   0.0030       ML
 par_sim1523   1.7318   1.2558   0.4498   0.0000  28.2214   0.0040       ML
 par_sim1524   1.0347   1.8722   0.5388   0.0000 -17.1886   0.0040       ML
 par_sim1525   1.5225   0.6860   0.4579   0.0000  40.4722   0.0040       ML
 par_sim1526   0.9772   0.8533   0.6048   0.0000   0.6076   0.0040       ML
 par_sim1527   1.1388   1.8591   0.4166   0.0000 -11.7078   0.0040       ML
 par_sim1528   1.3361   0.8647   0.3673   0.0000  25.0400   0.0100       ML
 par_sim1529   1.0086   1.9431   0.5121   0.0000 -20.4982   0.0040       ML
 par_sim153   1.4630   1.6584   0.8754   0.0000   5.4860   0.0040       ML
 par_sim1530   1.2188   0.5419   0.5064   0.0000  24.6760   0.0040       ML
 par_sim1531   1.1338   0.8895   0.3895   0.0000  13.6363   0.0040       ML
 par_sim1532   2.2593   1.0756   0.5432   0.0000  48.8491   0.0040       ML
 par_sim1533   1.4642   1.2098   0.5011   0.0000  21.5166   0.0040       ML
 par_sim1534   1.4202  -0.1650   0.4738   0.0000  45.8124   0.0030       ML
 par_sim1535   1.6898   1.0599   0.5045   0.0000  34.9042   0.0040       ML
 par_sim1536   1.1470   0.9889   0.6796   0.0000  11.1915   0.0040       ML
 par_sim1537   1.3921   1.2486   0.6250   0.0000  17.8625   0.0040       ML
 par_sim1538   1.4347   0.9504   0.5682   0.0000  28.6629   0.0040       ML
 par_sim1539   1.0906   0.8489   0.4797   0.0000  10.2520   0.0060       ML
 par_sim154   1.6313   0.6974   0.7383   0.0000  46.2062   0.0040       ML
 par_sim1540   1.2349   0.7561   0.2819   0.0000  22.1942   0.0040       ML
 par_sim1541   1.2611   1.0755   0.4664   0.0000  16.1625   0.0040       ML
 par_sim1542   1.5433   0.9091   0.6784   0.0000  33.7779   0.0040       ML
 par_sim1543   1.2724   2.0727   0.7898   0.0000 -12.8590   0.0040       ML
 par_sim1544   1.4638   1.5611   0.5917   0.0000   9.8533   0.0050       ML
 par_sim1545   1.4157   0.8003   0.5794   0.0000  32.2313   0.0040       ML
 par_sim1546   1.3600   0.8207   0.4519   0.0000  29.3884   0.0040       ML
 par_sim1547   1.3817   1.2872   0.3200   0.0000  15.3872   0.0030       ML
 par_sim1548   1.3575   1.0061   0.6264   0.0000  23.0458   0.0040       ML
 par_sim1549   1.2534   0.4662   0.5486   0.0000  27.0879   0.0040       ML
 par_sim155   1.0101   1.0317   0.3953   0.0000  -0.4010   0.0060       ML
 par_sim1550   1.0671   1.1805   0.3545   0.0000   0.8365   0.0060       ML
 par_sim1551   1.0845   1.9089   0.4287   0.0000 -17.2995   0.0070       ML
 par_sim1552   1.1922   1.4295   0.5453   0.0000   0.8529   0.0040       ML
 par_sim1553   1.3025   1.8469   0.5420   0.0000  -5.4053   0.0040       ML
 par_sim1554   1.1507   0.7259   0.3962   0.0000  17.0133   0.0180       ML
 par_sim1555   1.0284   1.2149   0.5363   0.0000  -2.2713   0.0040       ML
 par_sim1556   1.3985   0.5304   0.6468   0.0000  37.9711   0.0030       ML
 par_sim1557   1.1128   1.0201   0.5767   0.0000   8.1915   0.0050       ML
 par_sim1558   1.3277   0.3662   0.4622   0.0000  35.3471   0.0040       ML
 par_sim1559   2.0522  -0.1545   0.4913   0.0000  81.1661   0.0030       ML
 par_sim156   1.5746   1.0416   0.6369   0.0000  31.4713   0.0030       ML
 par_sim1560   1.3585   0.8982   0.5652   0.0000  27.2951   0.0040       ML
 par_sim1561   1.3308   1.6465   0.5775   0.0000   1.5065   0.0040       ML
 par_sim1562   1.8351   1.3742   0.5401   0.0000  25.5954   0.0040       ML
 par_sim1563   1.3370   0.8597   0.3604   0.0000  25.5669   0.0040       ML
 par_sim1564   1.5889   1.2459   0.4430   0.0000  24.1832   0.0030       ML
 par_sim1565   1.3704   1.5923   0.4099   0.0000   4.7735   0.0040       ML
 par_sim1566   1.4557   0.8987   0.5768   0.0000  29.1558   0.0040       ML
 par_sim1567   1.2620   1.4523   0.7079   0.0000   4.1850   0.0030       ML
 par_sim1568   1.4006   1.0694   0.6282   0.0000  23.1140   0.0110       ML
 par_sim1569   1.9332   0.4809   0.4832   0.0000  67.3352   0.0040       ML
 par_sim157   1.2093   0.4634   0.5339   0.0000  26.7405   0.0040       ML
 par_sim1570   1.4947   0.4955   0.6843   0.0000  44.8588   0.0040       ML
 par_sim1571   1.1522   0.5849   0.5197   0.0000  17.6110   0.0040       ML
 par_sim1572   1.3493   0.2454   0.4298   0.0000  35.7659   0.0030       ML
 par_sim1573   0.8019   1.1655   0.3423   0.0000 -21.0915   0.0040       ML
 par_sim1574   1.1501   1.5661   0.5556   0.0000  -3.8391   0.0040       ML
 par_sim1575   1.2893   0.8182   0.6938   0.0000  23.0380   0.0040       ML
 par_sim1576   1.7476   0.0459   0.5845   0.0000  64.9065   0.0040       ML
 par_sim1577   1.1476   0.6547   0.3734   0.0000  17.3015   0.0040       ML
 par_sim1578   1.6173   1.5132   0.4455   0.0000  15.0143   0.0040       ML
 par_sim1579   1.5072   1.3547   0.4268   0.0000  18.9624   0.0030       ML
 par_sim158   1.4850   0.4554   0.2355   0.0000  42.6580   0.0040       ML
 par_sim1580   1.3410   1.2766   0.4389   0.0000  15.1300   0.0030       ML
 par_sim1581   1.8831   1.6672   0.5108   0.0000  15.2849   0.0040       ML
 par_sim1582   1.7284   0.7842   0.6389   0.0000  47.7902   0.0030       ML
 par_sim1583   1.7215   0.9428   0.7388   0.0000  40.9776   0.0040       ML
 par_sim1584   1.3192   0.8584   0.4402   0.0000  25.2429   0.0080       ML
 par_sim1585   0.9803   0.4976   0.5657   0.0000   4.8458   0.0050       ML
 par_sim1586   1.1090   0.5851   0.5394   0.0000  16.5700   0.0040       ML
 par_sim1587   1.0564   0.8973   0.4009   0.0000   5.4312   0.0040       ML
 par_sim1588   1.4649   0.4995   0.5672   0.0000  43.6195   0.0030       ML
 par_sim1589   1.3686   1.3160   0.4370   0.0000  13.4407   0.0040       ML
 par_sim159   1.4506   1.1362   0.4353   0.0000  22.9655   0.0050       ML
 par_sim1590   1.1243   1.3441   0.5756   0.0000   0.5232   0.0050       ML
 par_sim1591   1.3248   0.7696   0.5738   0.0000  28.2452   0.0030       ML
 par_sim1592   0.8756   1.5659   0.2579   0.0000 -21.0638   0.0040       ML
 par_sim1593   1.2167   2.3317   0.7202   0.0000 -22.4283   0.0050       ML
 par_sim1594   1.2369   2.1098   0.3909   0.0000 -14.8939   0.0060       ML
 par_sim1595   0.8372   0.4757   0.6401   0.0000  -8.9810   0.0050       ML
 par_sim1596   1.5810   1.0922   0.5310   0.0000  31.0433   0.0040       ML
 par_sim1597   1.5201   1.5145   0.5562   0.0000  13.1189   0.0040       ML
 par_sim1598   1.2642   1.0911   0.6356   0.0000  15.2457   0.0040       ML
 par_sim1599   1.0786  -0.2206   0.3823   0.0000  17.0518   0.0040       ML
 par_sim16   1.5190   1.1978   0.6380   0.0000  23.2517   0.0040       ML
 par_sim160   1.6808   1.1816   0.5599   0.0000  29.6312   0.0040       ML
 par_sim1600   1.1366   0.9091   0.5721   0.0000  12.0758   0.0040       ML
 par_sim1601   1.5616   1.2665   0.6761   0.0000  22.5647   0.0110       ML
 par_sim1602   1.6302   1.4760   0.3977   0.0000  16.7351   0.0040       ML
 par_sim1603   1.9243   0.0828   0.4891   0.0000  75.0946   0.0030       ML
 par_sim1604   0.8604   1.7007   0.4896   0.0000 -23.9454   0.0040       ML
 par_sim1605   1.3292   1.0938   0.4395   0.0000  20.0360   0.0040       ML
 par_sim1606   1.4632   0.7875   0.5765   0.0000  34.3260   0.0040       ML
 par_sim1607   1.2406   0.8359   0.7995   0.0000  20.5807   0.0030       ML
 par_sim1608   1.5697   1.1407   0.6711   0.0000  27.6900   0.0040       ML
