  dataset        a        v       t0  penalty      fit     time   method
 par_sim1068   1.4929   1.3199   0.5544   0.0000  18.3355   0.0020       ML
 par_sim1069   1.6058   0.7060   0.4867   0.0000  44.7625   0.0010       ML
 par_sim107   1.6595   0.2860   0.4519   0.0000  59.5614   0.0010       ML
 par_sim1070   1.6940   1.7942   0.7105   0.0000   7.1070   0.0030       ML
 par_sim1071   1.6398   0.7667   0.6472   0.0000  43.8436   0.0020       ML
 par_sim1072   1.5727   1.2754   0.7284   0.0000  22.3056   0.0010       ML
 par_sim1073   1.7048   1.3622   0.4545   0.0000  23.9363   0.0020       ML
 par_sim1074   1.5600   1.2400   0.3559   0.0000  24.0185   0.0020       ML
 par_sim1075   1.0273   1.4997   0.3368   0.0000  -9.9859   0.0020       ML
 par_sim1076   0.8486   0.6711   0.4075   0.0000  -9.9447   0.0030       ML
 par_sim1077   1.5916   1.5765   0.6547   0.0000  13.1653   0.0030       ML
 par_sim1078   0.8610   0.5664   0.3686   0.0000  -8.0522   0.0020       ML
 par_sim1079   1.2585   0.5372   0.6152   0.0000  26.0263   0.0030       ML
 par_sim108   1.3549   0.6123   0.5179   0.0000  33.8238   0.0030       ML
 par_sim1080   1.1038   1.1483   0.4327   0.0000   3.6762   0.0020       ML
 par_sim1081   1.1701   1.8739   0.3398   0.0000 -11.5681   0.0020       ML
 par_sim1082   1.2482   1.3009   0.4631   0.0000   9.0076   0.0030       ML
 par_sim1083   1.4530   0.6373   0.4368   0.0000  38.9791   0.0030       ML
 par_sim1084   1.1565   0.8954   0.4646   0.0000  13.5863   0.0020       ML
 par_sim1085   1.3807   1.1177   0.3238   0.0000  19.2412   0.0030       ML
 par_sim1086   0.9830   0.2452   0.4244   0.0000   6.8807   0.0030       ML
 par_sim1087   2.2279   0.6720   0.5612   0.0000  69.3983   0.0020       ML
 par_sim1088   1.3943   1.0802   0.4580   0.0000  22.2041   0.0020       ML
 par_sim1089   1.8556  -0.0001   0.4556   0.0000  68.6087   0.0020       ML
 par_sim109   0.9831   1.6983   0.6647   0.0000 -16.8563   0.0020       ML
 par_sim1090   1.2662   0.7381   0.6066   0.0000  24.5571   0.0020       ML
 par_sim1091   2.0089   1.3300   0.5189   0.0000  31.9694   0.0020       ML
 par_sim1092   1.2942   0.7262   0.3285   0.0000  26.2927   0.0020       ML
 par_sim1093   1.2390   1.5763   0.4757   0.0000   0.3155   0.0030       ML
 par_sim1094   1.6140   1.4847   0.8208   0.0000  16.2855   0.0020       ML
 par_sim1095   1.4366   1.3816   0.4485   0.0000  14.0200   0.0030       ML
 par_sim1096   1.8032   0.8902   0.5004   0.0000  46.6661   0.0030       ML
 par_sim1097   1.1279   2.1464   0.5499   0.0000 -20.3700   0.0030       ML
 par_sim1098   1.3910   2.0921   0.3597   0.0000 -10.7502   0.0030       ML
 par_sim1099   1.1251   0.7478   0.5177   0.0000  13.9486   0.0040       ML
 par_sim11   1.5416   0.9626   0.6433   0.0000  33.2128   0.0030       ML
 par_sim110   1.1214   1.0098   0.4872   0.0000   8.8761   0.0040       ML
 par_sim1100   1.6001   0.7832   0.6641   0.0000  41.6745   0.0040       ML
 par_sim1101   1.1166   1.3234   0.4720   0.0000   1.3808   0.0040       ML
 par_sim1102   1.3855   1.7474   0.5688   0.0000   0.2179   0.0030       ML
 par_sim1103   1.3160   1.7373   0.7332   0.0000  -0.9073   0.0030       ML
 par_sim1104   1.5458   0.7582   0.6104   0.0000  38.6135   0.0030       ML
 par_sim1105   1.1091   1.8310   0.4220   0.0000 -13.6137   0.0040       ML
 par_sim1106   1.3376   0.1797   0.4400   0.0000  37.7693   0.0040       ML
 par_sim1107   1.3306   1.2295   0.4872   0.0000  14.8683   0.0030       ML
 par_sim1108   1.4185   1.7123   0.6649   0.0000   2.2145   0.0030       ML
 par_sim1109   1.7752   1.3794   0.6038   0.0000  24.2250   0.0020       ML
 par_sim111   1.1803   0.7916   0.4304   0.0000  17.5190   0.0020       ML
 par_sim1110   0.9738   0.4186   0.5819   0.0000   4.2315   0.0030       ML
 par_sim1111   1.1477   0.1387   0.4768   0.0000  23.3724   0.0030       ML
 par_sim1112   1.3874   1.3577   0.3207   0.0000  14.2461   0.0030       ML
 par_sim1113   1.0309   0.9426   0.7487   0.0000   1.0441   0.0020       ML
 par_sim1114   1.9294   0.5787   0.5357   0.0000  64.3090   0.0020       ML
 par_sim1115   1.1161   1.0323   0.5467   0.0000   7.2677   0.0030       ML
 par_sim1116   1.6400   1.1351   0.4601   0.0000  29.3424   0.0030       ML
 par_sim1117   1.1659   0.4247   0.4900   0.0000  21.0646   0.0020       ML
 par_sim1118   1.2150   0.9932   0.5182   0.0000  16.9003   0.0040       ML
 par_sim1119   1.2427   1.0124   0.7912   0.0000  16.1487   0.0030       ML
 par_sim112   1.5484   1.2623   0.5205   0.0000  22.5463   0.0040       ML
 par_sim1120   1.5459   1.1592   0.8930   0.0000  26.2402   0.0060       ML
 par_sim1121   1.3591   0.3550   0.5048   0.0000  38.2762   0.0040       ML
 par_sim1122   1.1689   1.2844   0.5510   0.0000   4.8957   0.0040       ML
 par_sim1123   1.7212   1.1405   0.4213   0.0000  32.7125   0.0030       ML
 par_sim1124   0.8657   2.4037   0.5078   0.0000 -40.0361   0.0040       ML
 par_sim1125   1.3905   0.9143   0.4041   0.0000  26.5676   0.0030       ML
 par_sim1126   0.9293   0.4271   0.6049   0.0000   1.7415   0.0040       ML
 par_sim1127   1.1987   0.0682   0.4740   0.0000  25.5834   0.0040       ML
 par_sim1128   1.4978   0.2148   0.4589   0.0000  48.7874   0.0030       ML
 par_sim1129   0.8989   1.0480   0.2075   0.0000 -10.2102   0.0040       ML
 par_sim113   1.0718   0.3767   0.4054   0.0000  14.7405   0.0050       ML
 par_sim1130   1.6982   1.1733   0.6577   0.0000  30.4513   0.0040       ML
 par_sim1131   1.2599   0.6853   0.5867   0.0000  23.6449   0.0040       ML
 par_sim1132   1.5744   0.3658   0.5893   0.0000  50.8828   0.0030       ML
 par_sim1133   1.4299   1.6241   0.5637   0.0000   6.2988   0.0030       ML
 par_sim1134   1.1665   0.9884   0.4056   0.0000  11.6615   0.0020       ML
 par_sim1135   1.2718   0.3240   0.5456   0.0000  30.3607   0.0040       ML
 par_sim1136   1.4945   1.1992   0.3689   0.0000  22.6552   0.0030       ML
 par_sim1137   1.1288   1.8710   0.6269   0.0000 -12.3332   0.0030       ML
 par_sim1138   1.0441   0.7127   0.5109   0.0000   8.4308   0.0030       ML
 par_sim1139   1.7098   1.2669   0.3760   0.0000  27.4149   0.0030       ML
 par_sim114   1.3710   0.8139   0.5871   0.0000  30.2767   0.0040       ML
 par_sim1140   1.5788   1.0699   0.5016   0.0000  29.4611   0.0030       ML
 par_sim1141   1.2705   1.4239   0.3689   0.0000   5.8092   0.0040       ML
 par_sim1142   1.1598   0.6325   0.5202   0.0000  20.1194   0.0030       ML
 par_sim1143   1.1648   0.9754   0.4971   0.0000  12.6550   0.0030       ML
 par_sim1144   1.5190   0.3194   0.4647   0.0000  49.1596   0.0030       ML
